,,Nancy Mace,Michael B Moore,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Precinct,Provisional,0,0,0,0,0,0
Precinct,Sawmill Branch,705,342,2,1049,29,1078
Precinct,Spann,646,322,2,970,22,992
Precinct,Stallsville,476,265,0,741,24,765
Precinct,Tranquil,250,179,0,429,18,447
Precinct,Tranquil 2,397,463,2,862,29,891
Precinct,Tranquil 3,297,329,0,626,27,653
Precinct,Trolley,320,354,1,675,36,711
Precinct,Tupperway,370,210,1,581,21,602
Precinct,Tupperway 02,366,286,1,653,27,680
Precinct,Windsor,18,10,0,28,608,636
County,Jasper,2838,1705,1,4544,177,4721
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,1,0,0,1,1,2
Precinct,Okatie 02,744,424,0,1168,49,1217
Precinct,Provisional,2,2,0,4,12,16
Precinct,Sun City,2091,1279,1,3371,115,3486
