,,Russell Fry,Mal Hyman,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Precinct,Lamar No. 01,214,336,0,550,29,579
Precinct,Lamar No. 02,714,384,1,1099,26,1125
Precinct,Lydia,179,264,2,445,20,465
Precinct,Mechanicsville,624,537,3,1164,44,1208
Precinct,New Market,620,106,0,726,24,750
Precinct,Oates,515,219,2,736,21,757
Precinct,Palmetto,643,629,0,1272,43,1315
Precinct,Provisional,7,9,0,16,0,16
Precinct,Society Hill,172,292,1,465,19,484
Precinct,Swift Creek,432,201,1,634,27,661
County,Dillon,6269,5056,11,11336,605,11941
Precinct,Bermuda,122,63,1,186,6,192
Precinct,Carolina,85,97,0,182,6,188
Precinct,East Dillon,1132,277,1,1410,65,1475
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,1,1,0,2,0,2
Precinct,Floydale,365,68,0,433,20,453
Precinct,Fork,255,56,0,311,9,320
Precinct,Hamer,313,200,1,514,51,565
Precinct,Kemper,196,121,0,317,13,330
Precinct,Lake View,534,304,0,838,39,877
Precinct,Latta,899,799,1,1699,64,1763
Precinct,Little Rock,157,232,2,391,22,413
Precinct,Manning,134,79,0,213,16,229
Precinct,Minturn,66,64,2,132,6,138
Precinct,Mt. Calvary,433,658,2,1093,71,1164
Precinct,New Holly,182,62,0,244,25,269
Precinct,Oak Grove,490,167,0,657,26,683
Precinct,Oakland,246,298,0,544,56,600
Precinct,Pleasant Hill,206,76,0,282,9,291
Precinct,Provisional,0,0,0,0,0,0
Precinct,South Dillon,177,672,1,850,42,892
Precinct,West Dillon,276,762,0,1038,59,1097
County,Florence,31119,23590,59,54768,2727,57495
Precinct,Back Swamp,221,96,0,317,14,331
Precinct,Brookgreen,101,294,1,396,18,414
Precinct,Cartersville,295,196,0,491,21,512
Precinct,Claussen,1024,504,1,1529,59,1588
Precinct,Coles Crossroads,1009,882,1,1892,86,1978
Precinct,Coward No. 01,410,145,0,555,32,587
Precinct,Coward No. 02,496,142,0,638,31,669
Precinct,Delmae No. 01,652,661,2,1315,71,1386
Precinct,Delmae No. 02,1061,328,0,1389,46,1435
Precinct,Ebenezer No. 01,1843,858,5,2706,93,2799
Precinct,Ebenezer No. 02,1290,1026,4,2320,99,2419
Precinct,Ebenezer No. 03,834,417,0,1251,43,1294
Precinct,Effingham,442,119,0,561,20,581
Precinct,Elim-glenwood,925,283,2,1210,41,1251
Precinct,Evergreen,533,178,1,712,34,746
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,10,2,0,12,2,14
Precinct,Florence Ward 01,35,569,1,605,49,654
Precinct,Florence Ward 02,53,421,0,474,45,519
Precinct,Florence Ward 03,27,506,0,533,56,589
Precinct,Florence Ward 04,193,216,3,412,19,431
Precinct,Florence Ward 05,213,349,1,563,36,599
Precinct,Florence Ward 06,366,183,1,550,17,567
Precinct,Florence Ward 07,821,468,5,1294,43,1337
Precinct,Florence Ward 08,1042,380,4,1426,44,1470
Precinct,Florence Ward 09,29,699,1,729,59,788
Precinct,Florence Ward 10,12,295,0,307,31,338
Precinct,Florence Ward 11,276,265,2,543,24,567
Precinct,Florence Ward 12,1098,531,1,1630,79,1709
Precinct,Florence Ward 14,974,577,2,1553,76,1629
Precinct,Florence Ward 15,55,155,1,211,18,229
Precinct,Friendfield,354,46,1,401,11,412
Precinct,Gilbert,195,860,0,1055,98,1153
Precinct,Greenwood,778,709,1,1488,84,1572
Precinct,Hannah,423,53,0,476,20,496
Precinct,Johnsonville,1051,328,1,1380,46,1426
Precinct,Kingsburg-stone,349,294,0,643,34,677
Precinct,Mars Bluff No. 01,835,674,1,1510,84,1594
Precinct,Mars Bluff No. 02,670,360,3,1033,39,1072
Precinct,Mcallister Mill,337,123,0,460,20,480
Precinct,Mill Branch,164,225,0,389,19,408
Precinct,Oak Grove-sardis,667,115,0,782,29,811
Precinct,Olanta,577,313,1,891,43,934
Precinct,Pamplico No. 01,608,191,0,799,26,825
Precinct,Pamplico No. 02,154,205,2,361,16,377
Precinct,Prospect,249,16,0,265,9,274
Precinct,Provisional,0,0,0,0,0,0
Precinct,Quinby,159,423,1,583,32,615
Precinct,Salem,339,30,0,369,17,386
Precinct,Savannah Grove,1333,1481,3,2817,132,2949
Precinct,Scranton,261,161,0,422,107,529
Precinct,South Florence 01,1021,798,0,1819,89,1908
Precinct,South Florence 02,253,811,0,1064,92,1156
Precinct,Spaulding,42,690,1,733,37,770
Precinct,Tans Bay,700,531,2,1233,61,1294
Precinct,Timmonsville 01,170,601,1,772,56,828
Precinct,Timmonsville 02,457,423,1,881,51,932
Precinct,Vox,338,68,0,406,14,420
Precinct,West Florence 01,1509,984,0,2493,118,2611
Precinct,West Florence 02,786,332,1,1119,37,1156
County,Georgetown,22690,13663,56,36409,1710,38119
Precinct,Andrews,368,579,0,947,97,1044
Precinct,Andrews Outside,312,312,1,625,43,668
Precinct,Bethel,687,80,1,768,31,799
Precinct,Black River,1027,259,1,1287,40,1327
Precinct,Browns Ferry,311,908,1,1220,71,1291
Precinct,Carvers Bay,109,36,0,145,6,151
Precinct,Choppee,257,400,3,660,31,691
Precinct,Dreamkeepers,29,458,1,488,46,534
Precinct,Failsafe,0,0,1,1,1,2
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Folly Grove,440,140,0,580,15,595
Precinct,Georgetown No. 01,421,261,3,685,30,715
Precinct,Georgetown No. 03,96,597,1,694,59,753
Precinct,Georgetown No. 04,276,153,0,429,14,443
Precinct,Georgetown No. 05,852,406,0,1258,58,1316
Precinct,Kensington,672,206,2,880,54,934
Precinct,Lambert Town,329,59,1,389,10,399
Precinct,Murrells Inlet No. 01,2034,780,5,2819,113,2932
Precinct,Murrells Inlet No. 02,1329,555,4,1888,79,1967
Precinct,Murrells Inlet No. 03,496,173,3,672,26,698
Precinct,Murrells Inlet No. 04,1025,235,4,1264,30,1294
Precinct,Myersville,41,237,0,278,11,289
Precinct,Pawleys Island No. 01,1890,851,2,2743,107,2850
Precinct,Pawleys Island No. 02,1683,1131,6,2820,154,2974
Precinct,Pawleys Island No. 03,1526,652,5,2183,85,2268
Precinct,Pawleys Island No. 04,1797,603,3,2403,108,2511
Precinct,Pawleys Island No. 05,1958,756,5,2719,107,2826
Precinct,Pee Dee,128,268,0,396,15,411
Precinct,Penny Royal,247,133,0,380,23,403
Precinct,Plantersville,163,287,1,451,26,477
Precinct,Pleasant Hill,459,201,0,660,23,683
Precinct,Potato Bed Ferry,338,171,0,509,23,532
Precinct,Provisional,16,13,0,29,1,30
Precinct,Sampit,144,472,0,616,39,655
Precinct,Santee,170,529,1,700,48,748
Precinct,Spring Gully,553,602,1,1156,62,1218
Precinct,Winyah Bay,507,160,0,667,24,691
County,Horry,141344,56702,272,198318,8850,207168
Precinct,4 Mile,1103,426,1,1530,78,1608
Precinct,Adrian,1147,341,4,1492,57,1549
Precinct,Allsbrook,514,78,0,592,23,615
Precinct,Atlantic Beach,20,75,0,95,8,103
Precinct,Aynor,1457,279,2,1738,63,1801
Precinct,Bayboro-gurley,794,270,4,1068,34,1102
Precinct,Brooksville #01,2473,984,4,3461,156,3617
Precinct,Brooksville #02,684,325,1,1010,59,1069
Precinct,Brownway,1226,321,1,1548,70,1618
Precinct,Burgess 01,1354,532,2,1888,92,1980
Precinct,Burgess 02,1743,640,4,2387,86,2473
Precinct,Burgess 03,1509,552,8,2069,95,2164
Precinct,Burgess 04,1164,427,2,1593,64,1657
Precinct,Burgess 05,1361,524,9,1894,84,1978
Precinct,Carolina Bays,1695,598,3,2296,89,2385
Precinct,Carolina Forest 01,1482,698,3,2183,110,2293
Precinct,Carolina Forest 02,934,486,2,1422,52,1474
Precinct,Cedar Grove,1027,134,1,1162,40,1202
Precinct,Cherry Grove 01,1749,477,2,2228,83,2311
Precinct,Cherry Grove 02,866,341,1,1208,53,1261
Precinct,Coastal Carolina,490,273,0,763,38,801
Precinct,Coastal Lane 01,93,367,1,461,26,487
Precinct,Coastal Lane 02,210,338,0,548,52,600
Precinct,Cool Springs,368,60,1,429,17,446
Precinct,Crescent,904,357,1,1262,48,1310
Precinct,Daisy,879,206,1,1086,44,1130
Precinct,Deerfield,2325,980,3,3308,167,3475
Precinct,Dog Bluff,840,74,0,914,24,938
Precinct,Dogwood,992,557,3,1552,54,1606
Precinct,Dunes 01,2377,818,8,3203,121,3324
Precinct,Dunes 02,1292,455,1,1748,62,1810
Precinct,Dunes 03,490,314,2,806,36,842
Precinct,East Conway,921,398,3,1322,57,1379
Precinct,East Loris,1587,698,1,2286,98,2384
Precinct,Ebenezer,1830,621,0,2451,99,2550
Precinct,Emerald Forest 01,1147,540,4,1691,96,1787
Precinct,Emerald Forest 02,2838,1229,4,4071,214,4285
Precinct,Emerald Forest 03,2233,975,6,3214,161,3375
Precinct,Enterprise #01,1039,454,3,1496,77,1573
Precinct,Enterprise #02,1009,395,3,1407,72,1479
Precinct,Failsafe,41,33,0,74,6,80
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Forestbrook,1645,769,3,2417,120,2537
Precinct,Galivants Ferry,113,19,0,132,8,140
Precinct,Garden City 01,1313,349,3,1665,78,1743
Precinct,Garden City 02,849,193,6,1048,26,1074
Precinct,Garden City 03,982,470,4,1456,85,1541
Precinct,Garden City 04,629,259,0,888,46,934
Precinct,Glenns Bay,1135,454,0,1589,71,1660
Precinct,Green Sea,558,157,1,716,30,746
Precinct,Hickory Grove,879,255,1,1135,36,1171
Precinct,Homewood,976,390,3,1369,51,1420
Precinct,Horry,1258,228,3,1489,44,1533
Precinct,Inland,149,86,0,235,7,242
Precinct,Jackson Bluff,341,101,1,443,23,466
Precinct,Jamestown,1525,980,4,2509,125,2634
Precinct,Jernigans Xroads,466,92,1,559,19,578
Precinct,Jet Port 01,1061,459,0,1520,85,1605
Precinct,Jet Port 02,578,321,4,903,26,929
Precinct,Jet Port 03,1251,623,0,1874,67,1941
Precinct,Jet Port 04,1378,720,3,2101,86,2187
Precinct,Juniper Bay,1107,303,0,1410,64,1474
Precinct,Lake Park #01,689,340,1,1030,42,1072
Precinct,Lake Park #02,654,422,1,1077,78,1155
Precinct,Lake Park #03,1113,507,7,1627,89,1716
Precinct,Leon,976,605,0,1581,82,1663
Precinct,Little River 01,2171,745,3,2919,113,3032
Precinct,Little River 02,1791,656,3,2450,121,2571
Precinct,Little River 03,1228,431,1,1660,84,1744
Precinct,Live Oak,529,156,0,685,31,716
Precinct,Maple,973,292,1,1266,42,1308
Precinct,Marlowe 01,1385,456,2,1843,73,1916
Precinct,Marlowe 02,1939,836,5,2780,127,2907
Precinct,Marlowe 03,2600,1044,4,3648,162,3810
Precinct,Methodist-mill Swamp,1059,86,0,1145,38,1183
Precinct,Mt. Olive,744,164,0,908,19,927
Precinct,Mt. Vernon,432,67,1,500,16,516
Precinct,Myrtle Trace,652,374,2,1028,42,1070
Precinct,Myrtlewood 01,466,271,2,739,36,775
Precinct,Myrtlewood 02,794,405,3,1202,45,1247
Precinct,Myrtlewood 03,982,327,5,1314,45,1359
Precinct,Nixons Xroads 01,1767,583,2,2352,112,2464
Precinct,Nixons Xroads 02,1834,944,3,2781,139,2920
Precinct,Nixons Xroads 03,1310,520,3,1833,73,1906
Precinct,North Conway 01,860,541,0,1401,73,1474
Precinct,North Conway 02,590,218,0,808,26,834
Precinct,Ocean Drive 01,1661,529,1,2191,70,2261
Precinct,Ocean Drive 02,1104,289,1,1394,60,1454
Precinct,Ocean Drive 03,1400,400,1,1801,72,1873
Precinct,Ocean Forest 01,821,349,3,1173,44,1217
Precinct,Ocean Forest 02,2132,903,4,3039,123,3162
Precinct,Ocean Forest 03,657,441,3,1101,62,1163
Precinct,Palmetto Bays,2506,1072,11,3589,210,3799
Precinct,Pawleys Swamp,344,57,0,401,16,417
Precinct,Pleasant View,429,45,0,474,7,481
Precinct,Poplar Hill,718,70,0,788,16,804
Precinct,Port Harrelson,49,349,0,398,26,424
Precinct,Provisional,139,51,0,190,4,194
Precinct,Racepath 01,428,467,1,896,44,940
Precinct,Racepath 02,434,742,0,1176,57,1233
Precinct,Red Bluff,557,263,1,821,37,858
Precinct,Red Hill 01,492,166,1,659,36,695
Precinct,Red Hill 02,1077,535,2,1614,75,1689
Precinct,River Oaks,2513,942,5,3460,159,3619
Precinct,Salem,1664,491,1,2156,85,2241
Precinct,Sea Oats 01,629,363,1,993,65,1058
Precinct,Sea Oats 02,490,317,2,809,61,870
Precinct,Sea Winds,1940,893,0,2833,148,2981
Precinct,Shell,1180,267,4,1451,56,1507
Precinct,Socastee 01,864,352,1,1217,56,1273
Precinct,Socastee 02,997,285,0,1282,83,1365
Precinct,Socastee 03,2729,1041,3,3773,167,3940
Precinct,Socastee 04,640,240,2,882,32,914
Precinct,Surfside 01,1292,433,1,1726,78,1804
Precinct,Surfside 02,642,220,1,863,37,900
Precinct,Surfside 03,1615,544,3,2162,107,2269
Precinct,Surfside 04,1869,754,4,2627,126,2753
Precinct,Sweet Home,586,343,1,930,43,973
Precinct,Tilly Swamp,2096,608,5,2709,112,2821
Precinct,Toddville,888,360,4,1252,57,1309
Precinct,Waccamaw,2169,970,8,3147,118,3265
Precinct,Wampee,1201,880,1,2082,103,2185
Precinct,West Conway,285,248,1,534,26,560
Precinct,West Loris,261,338,2,601,19,620
Precinct,White Oak,508,64,0,572,25,597
Precinct,Wild Wing,2771,1174,2,3947,176,4123
Precinct,Windy Hill 01,751,293,4,1048,55,1103
Precinct,Windy Hill 02,1878,686,2,2566,127,2693
County,Marion,5816,6878,15,12709,801,13510
Precinct,Brittons Neck,355,532,3,890,56,946
Precinct,Centenary,311,543,0,854,44,898
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Friendship,79,132,0,211,9,220
Precinct,Marion No. 01,239,418,1,658,30,688
Precinct,Marion No. 02,523,399,1,923,55,978
Precinct,Marion North,498,456,1,955,74,1029
Precinct,Marion South,490,1038,2,1530,113,1643
Precinct,Marion West,484,299,2,785,47,832
Precinct,Nichols,303,124,0,427,29,456
Precinct,Northeast Mullins,522,648,2,1172,80,1252
Precinct,Northwest Mullins,288,506,0,794,72,866
Precinct,Provisional,10,42,0,52,4,56
Precinct,Rains,193,278,0,471,29,500
Precinct,Sellers,42,90,0,132,12,144
Precinct,Southeast Mullins,661,269,1,931,44,975
Precinct,Southwest Mullins,442,530,1,973,48,1021
Precinct,Temperance,221,395,0,616,41,657
Precinct,Zion,155,179,1,335,14,349
County,Marlboro,4820,4738,29,9587,656,10243
Precinct,Adamsville,186,109,1,296,11,307
Precinct,Blenheim,111,81,1,193,13,206
Precinct,Brightsville,230,174,1,405,49,454
Precinct,Brownsville,166,70,1,237,5,242
Precinct,Clio,333,522,1,856,47,903
Precinct,E Bennettsville,338,517,3,858,52,910
Precinct,East Mccoll,377,93,0,470,34,504
Precinct,Failsafe,1,1,0,2,0,2
Precinct,Failsafe Provisional,41,38,0,79,6,85
Precinct,Mccoll,464,238,2,704,46,750
Precinct,N Bennettsville,802,834,8,1644,98,1742
Precinct,Provisional,0,0,0,0,0,0
Precinct,Quicks Xroads,282,294,1,577,43,620
Precinct,Red Hill,452,324,4,780,47,827
Precinct,S Bennettsville,63,365,2,430,52,482
Precinct,Tatum,142,112,0,254,14,268
Precinct,W Bennettsville,331,668,3,1002,97,1099
Precinct,Wallace,501,298,1,800,42,842
