,,Total Votes Cast,Total Ballots Cast,Registered Voters
Precinct,Grassy Pond,0,1878,2291
Precinct,Holly Grove-Buffalo,0,919,1318
Precinct,Limestone Mill,0,453,837
Precinct,Littlejohns and Sarratt,0,329,395
Precinct,Macedonia,0,1397,1789
Precinct,Morgan,0,1061,1321
Precinct,Musgrove Mill,0,1182,1582
Precinct,Pleasant Grove,0,694,941
Precinct,Pleasant Meadows,0,534,791
Precinct,Provisional,0,10,0
Precinct,Timber Ridge,0,779,942
Precinct,White Plains,0,993,1312
Precinct,Wilkinsville and Metcalf,0,453,583
Precinct,Woods,0,929,1134
County,Chester,0,15692,22392
Precinct,Baldwin Mill,0,740,1266
Precinct,Baton Rouge,0,512,700
Precinct,Beckhamville,0,644,906
Precinct,Blackstock,0,531,714
Precinct,Chester Ward 01,0,1049,1608
Precinct,Chester Ward 02,0,543,898
Precinct,Chester Ward 03,0,1022,1497
Precinct,Chester Ward 04,0,605,994
Precinct,Chester Ward 05,0,825,1152
Precinct,Edgemoor,0,996,1265
Precinct,Eureka Mill,0,1078,1625
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Fort Lawn,0,1149,1616
Precinct,Great Falls,0,580,1098
Precinct,Halsellville,0,152,190
Precinct,Hazelwood,0,612,819
Precinct,Lando/Landsford,0,882,1148
Precinct,Lowrys,0,794,1026
Precinct,Provisional,0,3,0
Precinct,Richburg,0,1141,1506
Precinct,Rodman,0,1075,1362
Precinct,Rossville,0,351,477
Precinct,Wilksburg,0,408,525
County,Chesterfield,0,18528,25968
Precinct,Angelus-Catarrh,0,530,657
Precinct,Bay Springs,0,280,374
Precinct,Black Creek,0,338,505
Precinct,Brocks Mill,0,1008,1519
Precinct,Cash,0,745,1016
Precinct,Center Grove-Winzo,0,694,1111
Precinct,Cheraw No. 01,0,938,1321
Precinct,Cheraw No. 02,0,723,1034
Precinct,Cheraw No. 03,0,914,1553
Precinct,Cheraw No. 04,0,886,1255
Precinct,Courthouse,0,1412,1862
Precinct,Dudley-mangum,0,713,907
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Grants Mill,0,923,1220
Precinct,Jefferson,0,1242,1763
Precinct,Mcbee,0,1100,1572
Precinct,Middendorf,0,530,718
Precinct,Mt. Groghan,0,307,376
Precinct,Ousleydale,0,557,696
Precinct,Pageland No. 01,0,1284,1783
Precinct,Pageland No. 02,0,1076,1652
Precinct,Patrick,0,458,633
Precinct,Pee Dee,0,217,280
Precinct,Provisional,0,4,0
Precinct,Ruby,0,770,1009
Precinct,Shiloh,0,499,621
Precinct,Snow Hill-Vaughn,0,380,531
County,Clarendon,0,16461,0
Precinct,Alcolu,0,609,0
Precinct,Barrineau,0,405,0
Precinct,Barrows Mill,0,115,0
Precinct,Bloomville,0,336,0
Precinct,Calvary,0,348,0
Precinct,Davis Station,0,1401,0
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Harmony,0,512,0
Precinct,Hicks,0,511,0
Precinct,Home Branch,0,238,0
Precinct,Jordan,0,2152,0
Precinct,Manning No. 01,0,463,0
Precinct,Manning No. 02,0,665,0
Precinct,Manning No. 03,0,1134,0
Precinct,Manning No. 04,0,993,0
Precinct,Manning No. 05,0,707,0
Precinct,New Zion,0,347,0
Precinct,Oakdale,0,209,0
Precinct,Panola,0,162,0
Precinct,Paxville,0,694,0
Precinct,Provisional,0,0,0
Precinct,Sardinia-gable,0,204,0
Precinct,Summerton No. 01,0,1722,0
Precinct,Summerton No. 02,0,274,0
Precinct,Summerton No. 03,0,650,0
Precinct,Turbeville,0,745,0
Precinct,Wilson-Foreston,0,865,0
County,Colleton,0,18381,24636
Precinct,Ashton-lodge,0,350,429
Precinct,Bells,0,214,250
Precinct,Berea-smoaks,0,596,809
Precinct,Canadys,0,425,514
Precinct,Cottageville,0,1180,1612
Precinct,Edisto,0,211,308
Precinct,Edisto Beach,0,992,1167
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,4,0
Precinct,Green Pond,0,618,794
Precinct,Hendersonville,0,737,948
Precinct,Horse Pen,0,427,580
Precinct,Hudsons Mill,0,422,541
Precinct,Jacksonboro,0,236,304
Precinct,Maple Cane,0,761,975
Precinct,Mashawville,0,563,707
Precinct,Peeples,0,750,1081
Precinct,Peniel,0,608,979
Precinct,Petits,0,197,228
Precinct,Provisional,0,11,0
Precinct,Rice Patch,0,478,598
Precinct,Ritter,0,456,624
Precinct,Round O,0,720,970
Precinct,Ruffin,0,184,237
Precinct,Sidneys,0,451,609
Precinct,Sniders,0,498,628
Precinct,Stokes,0,496,622
Precinct,Walterboro No. 01,0,897,1232
Precinct,Walterboro No. 02,0,652,1017
Precinct,Walterboro No. 03,0,848,1269
Precinct,Walterboro No. 04,0,1011,1386
Precinct,Walterboro No. 05,0,1154,1449
Precinct,Walterboro No. 06,0,722,1132
Precinct,Williams,0,207,273
Precinct,Wolf Creek,0,305,364
County,Darlington,0,30589,40524
Precinct,Antioch,0,1216,1538
Precinct,Auburn,0,416,555
Precinct,Bethel,0,466,605
Precinct,Black Creek-Clyde,0,885,1106
Precinct,Burnt Branch,0,528,688
Precinct,Darlington No. 01,0,178,280
Precinct,Darlington No. 02,0,894,1326
Precinct,Darlington No. 03,0,2018,2556
Precinct,Darlington No. 04,0,919,1309
Precinct,Darlington No. 05,0,941,1435
Precinct,Darlington No. 06,0,1072,1481
Precinct,Dovesville,0,978,1292
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,6,0
Precinct,Hartsville No. 01,0,959,1218
Precinct,Hartsville No. 04,0,502,868
Precinct,Hartsville No. 05,0,1746,2356
Precinct,Hartsville No. 06,0,792,1314
Precinct,Hartsville No. 07,0,608,954
Precinct,Hartsville No. 08,0,2027,2518
Precinct,Hartsville No. 09,0,1190,1534
Precinct,High Hill,0,1904,2580
Precinct,Indian Branch,0,467,598
Precinct,Kelleytown,0,1510,1759
Precinct,Lake Swamp,0,1007,1256
Precinct,Lamar No. 01,0,579,737
Precinct,Lamar No. 02,0,1125,1370
Precinct,Lydia,0,465,608
Precinct,Mechanicsville,0,1208,1532
Precinct,New Market,0,750,944
Precinct,Oates,0,757,922
Precinct,Palmetto,0,1315,1758
Precinct,Provisional,0,16,0
Precinct,Society Hill,0,484,665
Precinct,Swift Creek,0,661,862
County,Dillon,0,11941,16921
Precinct,Bermuda,0,192,261
Precinct,Carolina,0,188,319
Precinct,East Dillon,0,1475,1805
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,2,0
Precinct,Floydale,0,453,569
Precinct,Fork,0,320,356
Precinct,Hamer,0,565,753
Precinct,Kemper,0,330,432
Precinct,Lake View,0,877,1142
Precinct,Latta,0,1763,2530
Precinct,Little Rock,0,413,573
Precinct,Manning,0,229,333
Precinct,Minturn,0,138,170
Precinct,Mt. Calvary,0,1164,1701
Precinct,New Holly,0,269,361
Precinct,Oak Grove,0,683,1004
Precinct,Oakland,0,600,827
Precinct,Pleasant Hill,0,291,368
Precinct,Provisional,0,0,0
Precinct,South Dillon,0,892,1457
Precinct,West Dillon,0,1097,1960
County,Dorchester,0,78324,122750
Precinct,4 Hole,0,764,1120
Precinct,Archdale,0,793,1275
Precinct,Archdale 02,0,990,1637
Precinct,Ashborough East,0,748,1349
Precinct,Ashborough East 02,0,654,901
Precinct,Ashborough West,0,359,633
Precinct,Ashborough West 02,0,853,1231
Precinct,Ashley River,0,1627,2599
Precinct,Bacons Bridge,0,1918,2862
Precinct,Bacons Bridge 02,0,1073,1484
Precinct,Beech Hill,0,1304,1734
Precinct,Beech Hill 02,0,2508,3350
Precinct,Brandymill,0,505,763
Precinct,Brandymill 02,0,799,1421
Precinct,Briarwood,0,709,1388
Precinct,Briarwood 02,0,719,1112
Precinct,Briarwood 03,0,502,799
Precinct,Butternut,0,1699,2455
Precinct,Carolina,0,1202,2209
Precinct,Central,0,1160,1749
Precinct,Central 02,0,1036,1750
Precinct,Clemson,0,1404,1925
Precinct,Clemson 02,0,1899,2989
Precinct,Clemson 03,0,986,1790
Precinct,Coastal,0,745,1366
Precinct,Coastal 02,0,1050,1714
Precinct,Coastal 03,0,477,781
Precinct,Coosaw,0,2097,3306
Precinct,Coosaw 02,0,1462,2527
Precinct,Coosaw 03,0,934,1626
Precinct,Cypress,0,2007,3178
Precinct,Cypress 02,0,837,1234
Precinct,Delemars,0,1562,1825
Precinct,Dorchester,0,801,1301
Precinct,Dorchester 02,0,814,1060
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Flowertown,0,2863,3721
Precinct,Flowertown 02,0,901,1548
Precinct,Flowertown 03,0,988,1598
Precinct,Germantown,0,984,1561
Precinct,Givhans,0,714,1054
Precinct,Givhans 02,0,934,1285
Precinct,Greenhurst,0,818,1377
Precinct,Greenwave,0,680,1403
Precinct,Grover,0,643,907
Precinct,Harleyville,0,491,718
Precinct,Indian Field,0,420,629
Precinct,Indian Field 02,0,599,907
Precinct,Irongate,0,513,740
Precinct,Irongate 02,0,267,499
Precinct,Irongate 03,0,424,668
Precinct,Kings Grant,0,1196,1738
Precinct,Kings Grant 02,0,1449,2149
Precinct,Knightsville,0,966,1575
Precinct,Lincoln,0,749,1718
Precinct,Miles-Jamison,0,1482,2330
Precinct,Newington,0,861,1198
Precinct,Newington 02,0,547,814
Precinct,North Summerville,0,352,506
Precinct,North Summerville 02,0,904,1493
Precinct,Oakbrook,0,2474,4346
Precinct,Oakbrook 02,0,933,1451
Precinct,Patriot,0,1083,2045
Precinct,Provisional,0,0,0
Precinct,Reevesville,0,734,1048
Precinct,Ridgeville,0,852,1200
Precinct,Ridgeville 02,0,438,673
Precinct,Rosinville,0,955,1372
Precinct,Rosses,0,745,1055
Precinct,Saul Dam,0,1114,1433
Precinct,Sawmill Branch,0,1078,1604
Precinct,Spann,0,992,1407
Precinct,St. George No. 01,0,817,1221
Precinct,St. George No. 02,0,485,795
Precinct,Stallsville,0,765,1153
Precinct,Tranquil,0,447,823
Precinct,Tranquil 2,0,891,1560
Precinct,Tranquil 3,0,653,1421
Precinct,Trolley,0,711,1591
Precinct,Tupperway,0,602,1019
Precinct,Tupperway 02,0,680,1189
Precinct,Windsor,0,636,962
Precinct,Windsor 02,0,497,803
County,Edgefield,0,13979,17790
Precinct,Brunson,0,445,547
Precinct,Edgefield No. 01,0,712,871
Precinct,Edgefield No. 02,0,1292,1805
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Harmony,0,787,919
Precinct,Johnston No. 01,0,846,1205
Precinct,Johnston No. 02,0,793,1139
Precinct,Merriweather No. 01,0,2547,3020
Precinct,Merriweather No. 02,0,2781,3455
Precinct,North Side,0,360,451
Precinct,Provisional,0,5,0
Precinct,Trenton No. 01,0,839,1131
Precinct,Trenton No. 02,0,1693,2242
Precinct,Westside,0,879,1005
County,Fairfield,0,11314,15838
Precinct,Blackstock,0,54,74
Precinct,Blairs,0,308,420
Precinct,Centerville,0,229,318
Precinct,Dutchmans Creek,0,1242,1537
Precinct,Failsafe,0,3,0
Precinct,Failsafe Provisional,0,3,0
Precinct,Feasterville,0,202,269
Precinct,Gladden Grove,0,47,60
Precinct,Greenbrier,0,1388,1870
Precinct,Hickory Ridge,0,606,872
Precinct,Horeb-glenn,0,231,339
Precinct,Jenkinsville,0,415,572
Precinct,Lebanon,0,533,714
Precinct,Mitford,0,519,707
Precinct,Monticello,0,409,583
Precinct,New Hope,0,49,67
Precinct,Provisional,0,18,0
Precinct,Ridgeway,0,1569,2172
Precinct,Simpson,0,694,915
Precinct,South Winnsboro,0,456,723
Precinct,White Oak,0,184,259
Precinct,Winnsboro Mills,0,453,873
Precinct,Winnsboro No. 01,0,873,1338
Precinct,Winnsboro No. 02,0,735,1025
Precinct,Woodard,0,94,131
County,Florence,0,61622,83778
Precinct,Back Swamp,0,331,568
Precinct,Brookgreen,0,414,547
Precinct,Cartersville,0,512,663
Precinct,Claussen,0,1588,1930
Precinct,Coles Crossroads,0,1978,2572
Precinct,Coward No. 01,0,587,761
Precinct,Coward No. 02,0,669,893
Precinct,Delmae No. 01,0,1386,2061
Precinct,Delmae No. 02,0,1435,1781
Precinct,Ebenezer No. 01,0,2799,3445
Precinct,Ebenezer No. 02,0,2419,3052
Precinct,Ebenezer No. 03,0,1294,1622
Precinct,Effingham,0,581,755
Precinct,Elim-glenwood,0,1251,1628
Precinct,Evergreen,0,746,972
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,14,0
Precinct,Florence Ward 01,0,654,984
Precinct,Florence Ward 02,0,519,985
Precinct,Florence Ward 03,0,589,1037
Precinct,Florence Ward 04,0,431,688
Precinct,Florence Ward 05,0,599,940
Precinct,Florence Ward 06,0,567,703
Precinct,Florence Ward 07,0,1337,1806
Precinct,Florence Ward 08,0,1470,1785
Precinct,Florence Ward 09,0,788,1223
Precinct,Florence Ward 10,0,338,624
Precinct,Florence Ward 11,0,567,806
Precinct,Florence Ward 12,0,1709,2322
Precinct,Florence Ward 14,0,1629,2034
Precinct,Florence Ward 15,0,229,357
Precinct,Friendfield,0,412,496
Precinct,Gilbert,0,1153,1922
Precinct,Greenwood,0,1572,2106
Precinct,Hannah,0,496,598
Precinct,High Hill,0,352,457
Precinct,Johnsonville,0,1426,1913
Precinct,Kingsburg-stone,0,677,865
Precinct,Lake City No. 01,0,792,1261
Precinct,Lake City No. 02,0,816,1068
Precinct,Lake City No. 03,0,986,1393
Precinct,Lake City No. 04,0,932,1541
Precinct,Leo,0,249,307
Precinct,Mars Bluff No. 01,0,1594,2291
Precinct,Mars Bluff No. 02,0,1072,1453
Precinct,Mcallister Mill,0,480,660
Precinct,Mill Branch,0,408,514
Precinct,Oak Grove-sardis,0,811,1016
Precinct,Olanta,0,934,1200
Precinct,Pamplico No. 01,0,825,1034
Precinct,Pamplico No. 02,0,377,540
Precinct,Prospect,0,274,309
Precinct,Provisional,0,0,0
Precinct,Quinby,0,615,856
Precinct,Salem,0,386,493
Precinct,Savannah Grove,0,2949,3953
Precinct,Scranton,0,529,762
Precinct,South Florence 01,0,1908,2724
Precinct,South Florence 02,0,1156,1757
Precinct,Spaulding,0,770,1026
Precinct,Tans Bay,0,1294,1702
Precinct,Timmonsville 01,0,828,1198
Precinct,Timmonsville 02,0,932,1284
Precinct,Vox,0,420,555
Precinct,West Florence 01,0,2611,3483
Precinct,West Florence 02,0,1156,1497
County,Georgetown,0,38119,51606
Precinct,Andrews,0,1044,1630
Precinct,Andrews Outside,0,668,1019
Precinct,Bethel,0,799,1084
Precinct,Black River,0,1327,1724
Precinct,Browns Ferry,0,1291,1744
Precinct,Carvers Bay,0,151,194
Precinct,Choppee,0,691,989
Precinct,Dreamkeepers,0,534,908
Precinct,Failsafe,0,2,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Folly Grove,0,595,808
Precinct,Georgetown No. 01,0,715,924
Precinct,Georgetown No. 03,0,753,1385
Precinct,Georgetown No. 04,0,443,634
Precinct,Georgetown No. 05,0,1316,1867
Precinct,Kensington,0,934,1219
Precinct,Lambert Town,0,399,504
Precinct,Murrells Inlet No. 01,0,2932,3792
Precinct,Murrells Inlet No. 02,0,1967,2791
Precinct,Murrells Inlet No. 03,0,698,1023
Precinct,Murrells Inlet No. 04,0,1294,1719
Precinct,Myersville,0,289,414
Precinct,Pawleys Island No. 01,0,2850,3580
Precinct,Pawleys Island No. 02,0,2974,3957
Precinct,Pawleys Island No. 03,0,2268,2908
Precinct,Pawleys Island No. 04,0,2511,3161
Precinct,Pawleys Island No. 05,0,2826,3446
Precinct,Pee Dee,0,411,625
Precinct,Penny Royal,0,403,548
Precinct,Plantersville,0,477,674
Precinct,Pleasant Hill,0,683,892
Precinct,Potato Bed Ferry,0,532,686
Precinct,Provisional,0,30,0
Precinct,Sampit,0,655,931
Precinct,Santee,0,748,1126
Precinct,Spring Gully,0,1218,1771
Precinct,Winyah Bay,0,691,929
County,Greenville,0,265507,341455
Precinct,Aiken,0,635,1083
Precinct,Altamont Forest,0,1149,1305
Precinct,Asheton Lakes,0,2655,3176
Precinct,Avon,0,1249,1545
Precinct,Baker Creek,0,1045,1313
Precinct,Belle Meade,0,914,1487
Precinct,Bells Crossing,0,2278,2822
Precinct,Belmont,0,558,872
Precinct,Berea,0,868,1280
Precinct,Boiling Springs,0,1584,1905
Precinct,Botany Woods,0,1189,1575
Precinct,Bridge Fork,0,1320,1576
Precinct,Brookglenn,0,815,1092
Precinct,Canebrake,0,2199,2640
Precinct,Carolina,0,746,1171
Precinct,Castle Rock,0,2441,2973
Precinct,Chestnut Hills,0,1068,1574
Precinct,Circle Creek,0,2468,3005
Precinct,Clear Creek,0,1379,1675
Precinct,Conestee,0,1801,2376
Precinct,Darby Ridge,0,2292,2777
Precinct,Del Norte,0,1524,2031
Precinct,Devenger,0,1491,1700
Precinct,Donaldson,0,1460,1981
Precinct,Dove Tree,0,1396,1776
Precinct,Dunklin,0,1913,2402
Precinct,Eastside,0,1878,2395
Precinct,Ebenezer,0,1894,2282
Precinct,Edwards Forest,0,1626,2091
Precinct,Enoree,0,2396,3028
Precinct,Failsafe,0,304,0
Precinct,Failsafe Provisional,0,600,0
Precinct,Feaster,0,964,1273
Precinct,Fork Shoals,0,1587,1929
Precinct,Fountain Inn 01,0,2736,3516
Precinct,Fountain Inn 02,0,1285,1795
Precinct,Fox Chase,0,1734,2039
Precinct,Frohawk,0,1280,1519
Precinct,Furman,0,2273,2802
Precinct,Gowensville,0,1762,2098
Precinct,Granite Creek,0,2626,3243
Precinct,Graze Branch,0,1512,1795
Precinct,Greenbriar,0,1817,2309
Precinct,Greenville 01,0,1441,1704
Precinct,Greenville 03,0,2020,2417
Precinct,Greenville 04,0,1585,2219
Precinct,Greenville 05,0,2196,3077
Precinct,Greenville 06,0,555,852
Precinct,Greenville 07,0,1436,2303
Precinct,Greenville 08,0,2722,3763
Precinct,Greenville 10,0,1868,2398
Precinct,Greenville 14,0,989,1573
Precinct,Greenville 16,0,1615,1929
Precinct,Greenville 17,0,1404,1645
Precinct,Greenville 18,0,1255,1449
Precinct,Greenville 19,0,1321,2013
Precinct,Greenville 20,0,1002,1210
Precinct,Greenville 21,0,976,1330
Precinct,Greenville 22,0,1868,2253
Precinct,Greenville 23,0,1757,2022
Precinct,Greenville 24,0,3792,5317
Precinct,Greenville 25,0,911,1539
Precinct,Greenville 26,0,1230,1755
Precinct,Greenville 27,0,792,988
Precinct,Greenville 28,0,673,1061
Precinct,Greenville 29,0,1405,2280
Precinct,Grove,0,1099,1709
Precinct,Hillcrest,0,1982,2429
Precinct,Holly Tree,0,1080,1302
Precinct,Jennings Mill,0,1625,1956
Precinct,Kilgore Farms,0,2151,2639
Precinct,Lakeview,0,1515,2248
Precinct,Laurel Ridge,0,2061,2502
Precinct,Leawood,0,1491,2128
Precinct,Locust Hill,0,1272,1502
Precinct,Long Creek,0,1931,2305
Precinct,Maple Creek,0,1591,2162
Precinct,Maridell,0,1722,2041
Precinct,Mauldin 01,0,1770,2472
Precinct,Mauldin 02,0,3238,4571
Precinct,Mauldin 03,0,1645,2500
Precinct,Mauldin 04,0,2211,3376
Precinct,Mauldin 05,0,2080,3282
Precinct,Mauldin 06,0,1663,2237
Precinct,Mauldin 07,0,1459,1941
Precinct,Mission,0,2043,2470
Precinct,Monaview,0,1092,1731
Precinct,Moore Creek,0,3695,4571
Precinct,Mountain Creek,0,1828,2129
Precinct,Mountain View,0,1934,2297
Precinct,Mt. Pleasant,0,1080,1597
Precinct,Neely Farms,0,2831,3376
Precinct,Northwood,0,1456,1839
Precinct,Oakview,0,2518,2998
Precinct,Oneal,0,3116,3691
Precinct,Palmetto,0,1260,1709
Precinct,Paris Mountain,0,1137,1309
Precinct,Pebble Creek,0,1850,2205
Precinct,Pelham Falls,0,889,1024
Precinct,Piedmont,0,2149,3092
Precinct,Pineview,0,1183,1425
Precinct,Poinsett,0,2286,3053
Precinct,Provisional,0,338,0
Precinct,Raintree,0,2747,3568
Precinct,Ranch Creek,0,2910,3774
Precinct,Reedy Fork,0,2691,3356
Precinct,Riverside,0,1968,2529
Precinct,Riverwalk,0,2002,2372
Precinct,Rock Hill,0,1589,2323
Precinct,Rocky Creek,0,1327,1907
Precinct,Rolling Green,0,1537,1892
Precinct,Royal Oaks,0,865,1277
Precinct,Saluda,0,1070,1377
Precinct,Sandy Flat,0,3243,3820
Precinct,Sevier,0,2003,2462
Precinct,Silverleaf,0,1871,2197
Precinct,Simpsonville 01,0,1839,2452
Precinct,Simpsonville 02,0,1757,2526
Precinct,Simpsonville 03,0,2170,2799
Precinct,Simpsonville 04,0,1273,1760
Precinct,Simpsonville 05,0,2278,2893
Precinct,Simpsonville 06,0,2062,2651
Precinct,Skyland,0,2414,2855
Precinct,Slater Marietta,0,2314,2875
Precinct,Southside,0,1604,2041
Precinct,Sparrows Point,0,2166,2662
Precinct,Spring Forest,0,1445,1962
Precinct,Standing Springs,0,1377,1666
Precinct,Stone Valley,0,1421,1977
Precinct,Stonehaven,0,1624,1995
Precinct,Suber Mill,0,2733,3465
Precinct,Sugar Creek,0,1871,2151
Precinct,Sulphur Springs,0,2156,2797
Precinct,Sycamore,0,2896,3454
Precinct,Tanglewood,0,1377,1987
Precinct,Taylors,0,1353,1931
Precinct,Thornblade,0,2290,3176
Precinct,Tigerville,0,2605,2994
Precinct,Timberlake,0,1917,2362
Precinct,Trade,0,1600,2358
Precinct,Travelers Rest 01,0,2232,2666
Precinct,Travelers Rest 02,0,1354,1707
Precinct,Tubbs Mountain,0,2238,2612
Precinct,Tyger River,0,1012,1392
Precinct,Verdmont,0,1836,2204
Precinct,Wade Hampton,0,1422,2059
Precinct,Walnut Springs,0,4716,5798
Precinct,Ware Place,0,1664,2084
Precinct,Welcome,0,1210,1951
Precinct,Wellington,0,1188,1496
Precinct,Westcliffe,0,1062,1500
Precinct,Westside,0,1265,1876
Precinct,Woodmont,0,2192,2938
Precinct,Woodruff Lakes,0,1956,2388
County,Greenwood,0,31108,41138
Precinct,Airport,0,729,856
Precinct,Allies Crossing,0,658,780
Precinct,Angel Oak's Crossing,0,1089,1244
Precinct,Ashley River Run,0,287,570
Precinct,Bee's Ferry,0,476,995
Precinct,Biltmore Pines,0,809,1014
Precinct,Bradley,0,164,201
Precinct,Callison,0,740,911
Precinct,Civic Center,0,922,1317
Precinct,Cokesbury,0,709,919
Precinct,Coronaca,0,1136,1322
Precinct,Emerald,0,394,575
Precinct,Emerald High,0,389,465
Precinct,Epworth,0,517,629
Precinct,Failsafe,0,45,0
Precinct,Failsafe Provisional,0,46,0
Precinct,Fairhope Ferry,0,588,1017
Precinct,Georgetown,0,687,927
Precinct,Gideons Way,0,529,726
Precinct,Glendale,0,560,658
Precinct,Graham's Glen,0,693,838
Precinct,Grandiflora Glen,0,751,1041
Precinct,Greenwood High,0,692,909
Precinct,Greenwood Mill,0,531,710
Precinct,Harris,0,620,816
Precinct,Hodges,0,1019,1265
Precinct,Hope's Ferry,0,469,805
Precinct,Laco,0,806,1083
Precinct,Levi's Knoll,0,795,1187
Precinct,Liberty,0,507,771
Precinct,Loblolly Pines,0,335,744
Precinct,Lower Lake,0,1198,1324
Precinct,Marshall Oaks,0,298,542
Precinct,Maxwellton Pike,0,633,719
Precinct,Mimosa Crest,0,636,800
Precinct,Mountain Laurel,0,460,782
Precinct,New Market,0,639,875
Precinct,Newcastle,0,827,982
Precinct,Ninety Six,0,586,820
Precinct,Ninety Six Mill,0,557,709
Precinct,Parsons Mill,0,616,878
Precinct,Pebble Stone Way,0,603,834
Precinct,Pinecrest,0,651,871
Precinct,Provisional,0,63,0
Precinct,Riley,0,156,193
Precinct,Rutherford Shoals,0,536,710
Precinct,Sandridge,0,512,627
Precinct,Shoals Junction,0,252,284
Precinct,Sparrows Grace,0,1147,1295
Precinct,Stonewood,0,819,942
Precinct,Troy,0,116,137
Precinct,Verdery,0,744,912
Precinct,Ware Shoals,0,367,607
County,Hampton,0,8302,12913
Precinct,Black Creek,0,196,244
Precinct,Bonnett,0,560,744
Precinct,Brunson,0,428,623
Precinct,Crocketville-Miley,0,343,509
Precinct,Cummings,0,541,790
Precinct,Early Branch,0,287,456
Precinct,Estill,0,1313,2263
Precinct,Failsafe,0,2,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Furman,0,238,360
Precinct,Garnett,0,101,153
Precinct,Gifford,0,187,289
Precinct,Hampton Courthouse No. 01,0,687,1117
Precinct,Hampton Courthouse No. 02,0,993,1450
Precinct,Hopewell,0,210,291
Precinct,Horse Gall,0,80,96
Precinct,Provisional,0,7,0
Precinct,Rivers Mill,0,59,77
Precinct,Scotia,0,218,370
Precinct,Varnville,0,1189,1901
Precinct,Yemassee,0,663,1180
County,Horry,0,207168,267402
Precinct,4 Mile,0,1608,2083
Precinct,Adrian,0,1549,2016
Precinct,Allsbrook,0,615,759
Precinct,Atlantic Beach,0,103,237
Precinct,Aynor,0,1801,2145
Precinct,Bayboro-gurley,0,1102,1459
Precinct,Brooksville #01,0,3617,4372
Precinct,Brooksville #02,0,1069,1291
Precinct,Brownway,0,1618,2025
Precinct,Burgess 01,0,1980,2481
Precinct,Burgess 02,0,2473,3132
Precinct,Burgess 03,0,2164,2571
Precinct,Burgess 04,0,1657,2040
Precinct,Burgess 05,0,1978,2290
Precinct,Carolina Bays,0,2385,2950
Precinct,Carolina Forest 01,0,2293,3146
Precinct,Carolina Forest 02,0,1474,2012
Precinct,Cedar Grove,0,1202,1469
Precinct,Cherry Grove 01,0,2311,2943
Precinct,Cherry Grove 02,0,1261,1544
Precinct,Coastal Carolina,0,801,1305
Precinct,Coastal Lane 01,0,487,929
Precinct,Coastal Lane 02,0,600,1208
Precinct,Cool Springs,0,446,528
Precinct,Crescent,0,1310,1852
Precinct,Daisy,0,1130,1476
Precinct,Deerfield,0,3475,4477
Precinct,Dog Bluff,0,938,1199
Precinct,Dogwood,0,1606,1959
Precinct,Dunes 01,0,3324,3934
Precinct,Dunes 02,0,1810,2280
Precinct,Dunes 03,0,842,1080
Precinct,East Conway,0,1379,1662
Precinct,East Loris,0,2384,3073
Precinct,Ebenezer,0,2550,3106
Precinct,Emerald Forest 01,0,1787,2625
Precinct,Emerald Forest 02,0,4285,5645
Precinct,Emerald Forest 03,0,3375,4588
Precinct,Enterprise #01,0,1573,2158
Precinct,Enterprise #02,0,1479,1799
Precinct,Failsafe,0,80,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Forestbrook,0,2537,3311
Precinct,Galivants Ferry,0,140,161
Precinct,Garden City 01,0,1743,2229
Precinct,Garden City 02,0,1074,1380
Precinct,Garden City 03,0,1541,2018
Precinct,Garden City 04,0,934,1217
Precinct,Glenns Bay,0,1660,2218
Precinct,Green Sea,0,746,1004
Precinct,Hickory Grove,0,1171,1559
Precinct,Homewood,0,1420,1793
Precinct,Horry,0,1533,1784
Precinct,Inland,0,242,327
Precinct,Jackson Bluff,0,466,605
Precinct,Jamestown,0,2634,3496
Precinct,Jernigans Xroads,0,578,733
Precinct,Jet Port 01,0,1605,2286
Precinct,Jet Port 02,0,929,1212
Precinct,Jet Port 03,0,1941,2353
Precinct,Jet Port 04,0,2187,2753
Precinct,Juniper Bay,0,1474,1934
Precinct,Lake Park #01,0,1072,1689
Precinct,Lake Park #02,0,1155,1820
Precinct,Lake Park #03,0,1716,2238
Precinct,Leon,0,1663,2186
Precinct,Little River 01,0,3032,3508
Precinct,Little River 02,0,2571,3428
Precinct,Little River 03,0,1744,2186
Precinct,Live Oak,0,716,892
Precinct,Maple,0,1308,1605
Precinct,Marlowe 01,0,1916,2424
Precinct,Marlowe 02,0,2907,3332
