state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes,notes
WY,2012,Laramie County,Laramie County,Laramie County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,28590,47808,2612,79010,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Lincoln County,Lincoln County,Lincoln County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2574,14288,374,17236,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Natrona County,Natrona County,Natrona County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,17922,44264,2560,64746,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Niobrara County,Niobrara County,Niobrara County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,400,2044,108,2552,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Park County,Park County,Park County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,5854,22468,894,29216,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Platte County,Platte County,Platte County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2446,6272,344,9062,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Sheridan County,Sheridan County,Sheridan County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,7236,20534,874,28644,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Sublette County,Sublette County,Sublette County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,1534,6944,274,8752,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Sweetwater County,Sweetwater County,Sweetwater County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,9548,22856,1386,33790,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Teton County,Teton County,Teton County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,12426,9716,786,22928,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Uinta County,Uinta County,Uinta County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,3256,13230,592,17078,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Washakie County,Washakie County,Washakie County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,1588,6028,272,7888,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Weston County,Weston County,Weston County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,844,5642,232,6718,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Albany County,Albany County,Albany County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,6890,7602,2568,17060,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Big Horn County,Big Horn County,Big Horn County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,604,4067,646,5317,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Campbell County,Campbell County,Campbell County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,1324,15778,1097,18199,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Carbon County,Carbon County,Carbon County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,1279,4409,686,6374,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Converse County,Converse County,Converse County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,668,5520,466,6654,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Crook County,Crook County,Crook County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,273,3348,205,3826,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Fremont County,Fremont County,Fremont County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,4200,11167,1656,17023,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Goshen County,Goshen County,Goshen County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,924,4418,454,5796,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Hot Springs County,Hot Springs County,Hot Springs County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,400,1939,247,2586,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Johnson County,Johnson County,Johnson County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,638,3477,302,4417,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Laramie County,Laramie County,Laramie County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,11573,24847,4549,40969,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Lincoln County,Lincoln County,Lincoln County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,1105,6779,991,8875,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Natrona County,Natrona County,Natrona County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,6577,23552,3219,33348,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Niobrara County,Niobrara County,Niobrara County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,115,1116,83,1314,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Park County,Park County,Park County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,2535,11115,1445,15095,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Platte County,Platte County,Platte County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,719,3437,373,4529,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Sheridan County,Sheridan County,Sheridan County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,2927,10266,1317,14510,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Sublette County,Sublette County,Sublette County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,644,3409,337,4390,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Sweetwater County,Sweetwater County,Sweetwater County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,3231,12154,1745,17130,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Teton County,Teton County,Teton County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,7314,3921,1392,12627,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Uinta County,Uinta County,Uinta County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,1202,6154,1114,8470,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Washakie County,Washakie County,Washakie County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,532,2911,371,3814,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2016,Weston County,Weston County,Weston County,wy-2016-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2016/Results/General/2016_Wyoming_General_Election_Results.zip,299,3033,194,3526,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Albany County,Albany County,Albany County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,9092,8579,946,18617,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Big Horn County,Big Horn County,Big Horn County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,788,4806,158,5752,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Campbell County,Campbell County,Campbell County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,1935,16975,656,19566,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Carbon County,Carbon County,Carbon County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,1427,5014,223,6664,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Converse County,Converse County,Converse County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,861,5917,192,6970,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Crook County,Crook County,Crook County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,378,3651,90,4119,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Fremont County,Fremont County,Fremont County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,5519,12007,585,18111,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Goshen County,Goshen County,Goshen County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,1203,4878,160,6241,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Hot Springs County,Hot Springs County,Hot Springs County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,482,1999,96,2577,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Johnson County,Johnson County,Johnson County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,897,3881,136,4914,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Laramie County,Laramie County,Laramie County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,15217,27891,1874,44982,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Lincoln County,Lincoln County,Lincoln County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,1509,8643,316,10468,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Natrona County,Natrona County,Natrona County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,8530,25271,1401,35202,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Niobrara County,Niobrara County,Niobrara County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,155,1118,35,1308,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Park County,Park County,Park County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,3410,12813,494,16717,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Platte County,Platte County,Platte County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,890,3898,135,4923,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Sheridan County,Sheridan County,Sheridan County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,4043,11843,542,16428,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Sublette County,Sublette County,Sublette County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,882,3957,131,4970,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Sweetwater County,Sweetwater County,Sweetwater County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,3823,12229,551,16603,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Teton County,Teton County,Teton County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,9848,4341,488,14677,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Uinta County,Uinta County,Uinta County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,1591,7496,315,9402,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Washakie County,Washakie County,Washakie County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,651,3245,116,4012,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2020,Weston County,Weston County,Weston County,wy-2020-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_Wyoming_General_Results.zip,360,3107,75,3542,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
