state,election_year,county,county_fips,jurisdiction_id,office_name,office_type,address_line_1,address_line_2,city,state_abbrev,zip,phone,precinct_count,precinct_split_count,precincts_with_splits,routing_priority,statewide_request_status,county_followup_status,result_records_needed,turnout_records_needed,geometry_records_needed,admin_records_needed,jur_source_file,jur_source_url,precinct_count_source_url,precinct_count_local_file,notes
IN,2024,Clay County,18021,1090,Clay County Court House,Election Board,"609 E National Av, Rm 211",,Brazil,In,47834,812-448-9023,24,10,9,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18021_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18021_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Clinton County,18023,1037,Clinton County Voter Registration,Election Board,265 Courthouse Square,ATTN: KIM,Frankfort,In,46041,765-659-6337,39,4,4,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18023_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18023_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Crawford County,18025,1049,Crawford County Voter Registration,Election Board,715 Judicial Plaza Drive,SUITE 153,English,In,47118,812-338-2565,18,9,9,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18025_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18025_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Daviess County,18027,1043,Daviess County Voter Registration,Election Board,Government Center Basement,300 E HEFRON STREET,Washington,In,47501,812-254-8679,28,6,6,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18027_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18027_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Dearborn County,18029,1074,Dearborn County Voter Registration,Election Board,165 Mary Street,,Lawrenceburg,In,47025,812-537-8867,45,0,0,standard,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18029_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18029_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Decatur County,18031,1092,Decatur County Voter Registration,Election Board,"150 Courthouse Square, Suite 244",,Greensburg,In,47240,812-663-8223,22,3,2,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18031_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18031_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,DeKalb County,18033,1017,Dekalb County Voter Registration,Election Board,100 S Main Street,PO BOX 230,Auburn,In,46706,260-925-9787,39,8,8,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18033_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18033_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Delaware County,18035,1060,Delaware County Voter Registration,Election Board,100 W Main Street,RM 104,Muncie,In,47305,765-747-7812,78,6,6,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18035_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18035_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Dubois County,18037,1059,Dubois County Election Board,Election Board,One Courthouse Square,,Jasper,In,47546,812-481-7035,40,2,2,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18037_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18037_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Elkhart County,18039,1076,Elkhart County Election Board,Election Board,"101 N. Main St., Room 204",,Goshen,In,46526,574-535-6469,118,63,55,high_volume_or_split,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18039_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18039_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Fayette County,18041,1081,"Election Board, Clerk's Office",Election Board,401 Central Avenue,,Connersville,In,47331,765-825-1813,28,7,7,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18041_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18041_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Floyd County,18043,1013,Floyd County Voter Registration,Election Board,311 Hauss Square  Room 235,,New Albany,In,47150,812-948-5419,60,2,2,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18043_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18043_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Fountain County,18045,1079,Fountain County Voter Registration,Election Board,301 4th Street,PO BOX 183,Covington,In,47932,765-793-6230,20,5,5,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18045_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18045_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Franklin County,18047,1065,Franklin County Voter Registration,Election Board,459 Main Street,,Brookville,In,47012,765-647-5111,23,10,10,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18047_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18047_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Fulton County,18049,1031,Fulton County Election Board,Election Board,815 Main St,,Rochester,In,46975,574-223-4824,17,4,2,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18049_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18049_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Gibson County,18051,1001,Gibson County Voter Registration,Voter Registration,101 N Main St,,Princeton,In,47670,812-385-2541,34,12,12,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18051_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18051_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
