,,Donald J. Trump and Michael R. Pence,Joseph R Biden and Kamala D. Harris,Jo Jorgensen and Jeremy Spike Cohen,Howie Hawkins and Angela Walker,Roque Rocky De La Fuente and Darcy G. Richardson,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,Alliance,,,
State,South Carolina,1385103,1091541,27916,6907,1862,2513329,19501,2532830
County,Abbeville,8215,4101,88,23,6,12433,110,12543
Precinct,Abbeville No. 01,866,418,8,1,1,1294,10,1304
Precinct,Abbeville No. 02,375,721,3,1,1,1101,13,1114
Precinct,Abbeville No. 03,483,442,11,2,0,938,20,958
Precinct,Abbeville No. 04,446,207,3,0,0,656,7,663
Precinct,Antreville,763,181,7,0,0,951,3,954
Precinct,Broadmouth,304,85,0,1,0,390,2,392
Precinct,Calhoun Falls,524,661,6,3,2,1196,6,1202
Precinct,Cold Springs,622,145,7,4,0,778,8,786
Precinct,Donald's,344,71,7,0,0,422,5,427
Precinct,Due West,758,359,15,2,0,1134,11,1145
Precinct,Failsafe,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,8,12,0,0,0,20,0,20
Precinct,Hall's Store,316,151,1,2,0,470,4,474
Precinct,Keowee,716,178,7,3,0,904,11,915
Precinct,Lebanon,459,144,4,1,0,608,4,612
Precinct,Lowndesville,722,123,6,0,1,852,3,855
Precinct,Provisional,0,0,0,0,0,0,0,0
Precinct,Smithville,509,203,3,3,1,719,3,722
County,Aiken,51589,32275,982,274,65,85185,668,85853
Precinct,Aiken No. 01,616,370,11,5,1,1003,9,1012
Precinct,Aiken No. 02,185,588,6,5,2,786,11,797
Precinct,Aiken No. 03,133,842,4,7,2,988,14,1002
Precinct,Aiken No. 04,69,366,2,1,0,438,7,445
Precinct,Aiken No. 05,333,549,12,3,0,897,7,904
Precinct,Aiken No. 06,596,405,14,5,0,1020,9,1029
Precinct,Aiken No. 47,461,351,10,5,1,828,3,831
Precinct,Anderson Pond No. 69,1164,567,14,4,0,1749,13,1762
Precinct,Ascauga Lake No. 63,476,236,7,1,0,720,2,722
Precinct,Ascauga Lake No. 84,675,288,12,2,1,978,2,980
Precinct,Bath,299,239,2,4,1,545,7,552
Precinct,Beech Island,512,595,8,5,2,1122,10,1132
Precinct,Belvedere No. 09,540,490,15,9,1,1055,7,1062
Precinct,Belvedere No. 44,561,384,21,3,3,972,5,977
Precinct,Belvedere No. 62,413,475,5,5,0,898,7,905
Precinct,Belvedere No. 74,302,158,6,1,0,467,0,467
Precinct,Breezy Hill,1107,830,18,2,0,1957,9,1966
Precinct,Carolina Heights,278,476,7,2,1,764,8,772
Precinct,Cedar Creek No. 64,1021,440,10,3,1,1475,13,1488
Precinct,China Springs,355,668,10,10,1,1044,8,1052
Precinct,Clearwater,239,209,3,3,3,457,5,462
Precinct,College Acres,842,434,19,6,2,1303,15,1318
Precinct,Couchton,623,367,9,2,0,1001,11,1012
Precinct,Eureka,802,330,9,5,0,1146,9,1155
Precinct,Failsafe,27,28,1,0,0,56,1,57
Precinct,Failsafe Provisional,16,8,1,0,0,25,0,25
Precinct,Fox Creek No. 58,836,310,11,5,2,1164,9,1173
Precinct,Fox Creek No. 73,822,267,20,1,2,1112,3,1115
Precinct,Gem Lakes No. 60,748,291,7,5,0,1051,11,1062
Precinct,Gem Lakes No. 77,810,407,11,4,1,1233,7,1240
Precinct,Gloverville,520,165,8,4,0,697,4,701
Precinct,Graniteville,460,263,7,3,0,733,8,741
Precinct,Hammond No. 48,573,372,10,2,2,959,7,966
Precinct,Hammond No. 81,489,252,7,2,0,750,8,758
Precinct,Hitchcock No. 66,499,315,10,2,0,826,6,832
Precinct,Hollow Creek,758,345,5,5,1,1114,15,1129
Precinct,Jackson,876,250,5,1,0,1132,10,1142
Precinct,Langley,600,190,8,0,0,798,6,804
Precinct,Levels No. 52,484,431,19,3,0,937,5,942
Precinct,Levels No. 72,396,310,10,2,1,719,3,722
Precinct,Levels No. 83,250,241,20,2,1,514,6,520
Precinct,Lynwood,463,128,8,2,1,602,4,606
Precinct,Midland Valley No. 51,1150,616,22,1,1,1790,9,1799
Precinct,Midland Valley No. 71,1063,441,16,3,0,1523,8,1531
Precinct,Millbrook,904,541,20,4,0,1469,13,1482
Precinct,Misty Lakes,853,579,17,3,1,1453,12,1465
Precinct,Monetta,459,321,11,1,3,795,18,813
Precinct,Montmorenci No. 22,883,532,16,3,2,1436,9,1445
Precinct,Montmorenci No. 78,469,269,10,1,2,751,3,754
Precinct,N. Augusta No. 25,583,425,11,9,2,1030,5,1035
Precinct,N. Augusta No. 26,367,349,17,1,0,734,4,738
Precinct,N. Augusta No. 27,986,233,17,2,0,1238,7,1245
Precinct,N. Augusta No. 28,618,257,14,3,0,892,7,899
Precinct,N. Augusta No. 29,669,463,30,9,0,1171,7,1178
Precinct,N. Augusta No. 54,347,406,15,1,0,769,7,776
Precinct,N. Augusta No. 55,517,236,5,1,1,760,5,765
Precinct,N. Augusta No. 67,735,275,17,3,1,1031,7,1038
Precinct,N. Augusta No. 68,1323,564,25,2,2,1916,16,1932
Precinct,N. Augusta No. 80,452,187,11,3,0,653,7,660
Precinct,New Ellenton,565,546,16,4,1,1132,12,1144
Precinct,New Holland,431,138,8,0,0,577,3,580
Precinct,Oak Grove,572,175,16,3,0,766,3,769
Precinct,Perry,438,182,6,1,0,627,9,636
Precinct,Pine Forest,1012,326,15,3,1,1357,8,1365
Precinct,Provisional,15,6,1,0,0,22,0,22
Precinct,Redds Branch,578,282,12,3,0,875,4,879
Precinct,Salley,239,260,3,0,0,502,7,509
Precinct,Sandstone No. 70,579,371,18,10,3,981,9,990
Precinct,Sandstone No. 79,402,282,2,0,1,687,3,690
Precinct,Shaws Fork,359,165,5,2,0,531,6,537
Precinct,Shiloh,972,428,13,6,1,1420,6,1426
Precinct,Silver Bluff,617,737,13,6,1,1374,16,1390
Precinct,Six Points No. 35,675,477,11,2,1,1166,9,1175
Precinct,Six Points No. 46,112,713,4,5,0,834,13,847
Precinct,Sleepy Hollow No. 65,1133,421,14,3,1,1572,9,1581
Precinct,South Aiken No. 75,878,505,17,9,1,1410,9,1419
Precinct,South Aiken No. 76,1113,624,22,4,0,1763,14,1777
Precinct,Tabernacle,258,242,5,2,0,507,11,518
Precinct,Talatha,811,539,11,3,2,1366,11,1377
Precinct,Vaucluse,858,606,23,4,1,1492,6,1498
Precinct,Wagener,858,580,12,5,2,1457,15,1472
Precinct,Ward,668,417,13,4,1,1103,10,1113
Precinct,Warrenville,881,355,14,0,0,1250,6,1256
Precinct,White Pond,303,272,1,0,0,576,6,582
Precinct,Willow Springs,683,206,12,1,0,902,4,906
Precinct,Windsor No. 43,487,279,12,2,0,780,5,785
Precinct,Windsor No. 82,485,217,7,1,0,710,6,716
County,Allendale,835,2718,19,19,2,3593,93,3686
Precinct,Allendale 01,109,544,6,1,0,660,18,678
Precinct,Allendale 02,13,614,3,7,2,639,30,669
Precinct,Failsafe,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0
Precinct,Fairfax 01,132,224,0,2,0,358,7,365
Precinct,Fairfax 02,66,645,1,4,0,716,13,729
Precinct,Martin,44,161,1,0,0,206,6,212
Precinct,Provisional,4,4,0,0,0,8,0,8
Precinct,Sycamore,174,77,2,0,0,253,9,262
Precinct,Ulmer,99,65,5,1,0,170,2,172
Precinct,Woods,194,384,1,4,0,583,8,591
County,Anderson,67565,27169,1123,178,58,96093,699,96792
Precinct,3 And 20,1575,329,26,1,0,1931,3,1934
Precinct,5 Forks,931,322,14,2,1,1270,13,1283
Precinct,Anderson 01/1,623,421,11,1,2,1058,7,1065
Precinct,Anderson 01/2,736,297,15,1,2,1051,8,1059
Precinct,Anderson 02/1,683,322,20,1,0,1026,9,1035
Precinct,Anderson 02/2,1096,678,28,2,0,1804,18,1822
Precinct,Anderson 03/1,191,313,9,1,2,516,3,519
Precinct,Anderson 03/2,304,359,7,1,0,671,6,677
Precinct,Anderson 04/1,117,552,3,2,0,674,11,685
Precinct,Anderson 04/2,352,988,11,7,0,1358,16,1374
Precinct,Anderson 05/b,148,603,1,2,0,754,4,758
Precinct,Anderson 06/1,786,514,24,4,2,1330,9,1339
Precinct,Anderson 06/2,208,447,4,1,0,660,5,665
Precinct,Appleton-Equinox,239,273,5,2,0,519,2,521
Precinct,Barkers Creek-Mcadams,300,31,1,0,0,332,0,332
Precinct,Belton,959,362,18,0,1,1340,13,1353
Precinct,Belton Annex,941,345,21,3,1,1311,17,1328
Precinct,Bishops Branch,1059,387,21,4,4,1475,5,1480
Precinct,Bowling Green,471,85,4,0,1,561,3,564
Precinct,Broadview,167,305,3,0,0,475,8,483
Precinct,Broadway,435,179,5,0,0,619,5,624
Precinct,Brushy Creek,1573,401,28,4,1,2007,14,2021
Precinct,Cedar Grove,818,188,11,0,0,1017,1,1018
Precinct,Center Rock,1414,472,10,4,3,1903,13,1916
Precinct,Centerville Station A,1504,614,23,4,2,2147,15,2162
Precinct,Centerville Station B,1367,645,32,4,1,2049,9,2058
Precinct,Chiquola Mill,229,190,5,1,0,425,3,428
Precinct,Concrete,1688,653,34,6,1,2382,14,2396
Precinct,Coxs Creek,569,289,15,2,0,875,9,884
Precinct,Craytonville,691,70,3,2,0,766,8,774
Precinct,Denver-sandy Springs,899,302,12,6,1,1220,6,1226
Precinct,Edgewood Station A,921,566,18,1,0,1506,10,1516
Precinct,Edgewood Station B,1180,418,19,2,1,1620,9,1629
Precinct,Failsafe,72,35,0,0,0,107,0,107
Precinct,Failsafe Provisional,159,66,4,0,0,229,0,229
Precinct,Flat Rock,805,188,11,2,0,1006,5,1011
Precinct,Fork No. 01,892,215,12,2,1,1122,8,1130
Precinct,Fork No. 02,999,240,22,3,1,1265,10,1275
Precinct,Friendship,625,111,2,0,0,738,10,748
Precinct,Glenview,1017,514,14,2,0,1547,8,1555
Precinct,Gluck Mill,515,311,6,2,0,834,8,842
Precinct,Green Pond Station A,1418,408,21,0,1,1848,11,1859
Precinct,Hall,768,205,8,0,0,981,7,988
Precinct,Hammond Annex,1032,429,9,5,0,1475,22,1497
Precinct,Hammond School,1377,561,29,3,2,1972,11,1983
Precinct,High Point,391,55,4,0,0,450,5,455
Precinct,Homeland Park,296,59,3,1,1,360,5,365
Precinct,Honea Path,810,209,9,4,0,1032,9,1041
Precinct,Hopewell,980,369,20,4,0,1373,11,1384
Precinct,Hunt Meadows,2649,757,48,8,2,3464,14,3478
Precinct,Iva,921,175,11,2,2,1111,9,1120
Precinct,Jackson Mill,851,132,5,0,0,988,9,997
Precinct,La France,513,207,18,2,1,741,6,747
Precinct,Lakeside,1085,644,13,2,2,1746,24,1770
Precinct,Melton,389,121,8,3,0,521,6,527
Precinct,Mount Tabor,1340,533,19,2,1,1895,11,1906
Precinct,Mountain Creek,401,158,2,2,0,563,6,569
Precinct,Mt Airy,1517,369,28,1,2,1917,15,1932
Precinct,Neals Creek,931,495,6,4,0,1436,10,1446
Precinct,North Pointe,1180,420,18,4,1,1623,10,1633
Precinct,Pelzer,447,84,6,1,0,538,3,541
Precinct,Pendleton,1052,1059,49,10,3,2173,18,2191
Precinct,Piedmont,494,151,12,1,1,659,3,662
Precinct,Piercetown,1380,388,17,1,0,1786,8,1794
Precinct,Powdersville,1802,632,31,4,1,2470,16,2486
Precinct,Provisional,97,45,3,0,0,145,1,146
Precinct,Rock Mill,777,207,11,1,0,996,8,1004
Precinct,Rock Springs,463,151,5,0,0,619,8,627
Precinct,Shirley's Store,504,109,4,0,0,617,7,624
Precinct,Simpsonville,1540,487,24,3,0,2054,9,2063
Precinct,South Fant,199,447,7,4,2,659,7,666
Precinct,Starr,581,68,7,2,0,658,8,666
Precinct,Toney Creek,463,84,3,0,0,550,4,554
Precinct,Town Creek,1058,367,10,3,0,1438,12,1450
Precinct,Townville,488,112,6,2,0,608,4,612
Precinct,Varennes,388,302,10,2,1,703,9,712
Precinct,West Pelzer,1110,231,19,2,0,1362,6,1368
Precinct,West Savannah,311,115,3,0,0,429,5,434
Precinct,White Plains,1928,450,32,6,2,2418,12,2430
Precinct,Williamston,1249,419,23,3,1,1695,10,1705
Precinct,Williamston Mill,1570,298,28,4,3,1903,9,1912
Precinct,Wright's School,557,57,2,0,1,617,6,623
County,Bamberg,2417,4010,31,17,7,6482,73,6555
Precinct,Colston,97,47,0,0,0,144,1,145
Precinct,East Denmark,242,969,6,4,2,1223,17,1240
Precinct,Edisto,160,81,2,0,0,243,2,245
Precinct,Ehrhardt,294,220,2,0,1,517,8,525
Precinct,Failsafe,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,4,5,1,0,0,10,0,10
Precinct,Govan,39,70,2,0,0,111,2,113
Precinct,Hightowers Mill,34,30,0,0,0,64,0,64
Precinct,Hunters Chapel,85,72,0,0,0,157,2,159
Precinct,Kearse,80,10,0,0,0,90,0,90
Precinct,Little Swamp,90,10,1,0,0,101,2,103
Precinct,North Bamberg,652,683,9,5,1,1350,9,1359
Precinct,Olar,134,95,2,0,0,231,10,241
Precinct,Provisional,0,0,0,0,0,0,0,0
Precinct,South Bamberg,363,1049,4,7,2,1425,10,1435
Precinct,West Denmark,143,669,2,1,1,816,10,826
County,Barnwell,5492,4720,78,19,12,10321,85,10406
Precinct,Barnwell 01,227,256,1,1,0,485,4,489
Precinct,Barnwell 02,690,406,10,0,1,1107,6,1113
Precinct,Barnwell 03,727,494,16,2,2,1241,8,1249
Precinct,Barnwell 04,383,578,10,4,0,975,9,984
Precinct,Blackville 01,210,436,0,1,1,648,5,653
Precinct,Blackville 02,132,256,7,0,2,397,6,403
Precinct,Elko,248,188,1,0,0,437,3,440
Precinct,Failsafe,8,10,0,0,0,18,0,18
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0
Precinct,Friendship,455,38,2,0,0,495,2,497
Precinct,Healing Springs,163,454,5,0,0,622,8,630
Precinct,Hilda,576,66,5,1,0,648,3,651
Precinct,Kline,234,168,2,3,2,409,3,412
Precinct,Provisional,4,3,0,0,0,7,0,7
Precinct,Snelling,474,397,2,2,0,875,8,883
Precinct,Williston 01,330,592,10,3,4,939,14,953
Precinct,Williston 02,286,131,5,1,0,423,3,426
Precinct,Williston 03,345,247,2,1,0,595,3,598
County,Beaufort,53194,43419,941,214,67,97835,788,98623
Precinct,Beaufort 01,204,507,6,8,1,726,5,731
Precinct,Beaufort 02,380,432,9,3,0,824,6,830
Precinct,Beaufort 03,535,474,20,4,2,1035,13,1048
Precinct,Belfair,1056,584,6,4,1,1651,16,1667
Precinct,Bluffton 01a,635,595,25,5,0,1260,3,1263
Precinct,Bluffton 01b,456,272,10,5,0,743,3,746
Precinct,Bluffton 01c,792,462,14,3,0,1271,4,1275
Precinct,Bluffton 01d,507,552,16,4,2,1081,12,1093
Precinct,Bluffton 02a,414,368,14,4,1,801,3,804
Precinct,Bluffton 02b,560,432,13,2,1,1008,3,1011
Precinct,Bluffton 02c,1286,844,29,4,1,2164,15,2179
Precinct,Bluffton 02d,1050,607,23,4,0,1684,5,1689
Precinct,Bluffton 02e,397,644,13,5,2,1061,6,1067
Precinct,Bluffton 03,595,267,9,0,0,871,5,876
Precinct,Bluffton 04a,704,290,4,1,1,1000,8,1008
Precinct,Bluffton 04b,808,488,9,1,0,1306,7,1313
Precinct,Bluffton 04c,1119,655,12,3,1,1790,19,1809
Precinct,Bluffton 04d,1039,572,22,1,0,1634,17,1651
Precinct,Bluffton 05a,883,536,12,4,1,1436,11,1447
Precinct,Bluffton 05b,536,360,5,2,0,903,2,905
Precinct,Burton 01a,761,621,19,2,1,1404,4,1408
Precinct,Burton 01b,159,646,8,5,3,821,15,836
Precinct,Burton 01c,566,798,13,1,1,1379,15,1394
Precinct,Burton 01d,192,192,18,1,0,403,1,404
Precinct,Burton 02a,669,497,14,5,0,1185,7,1192
Precinct,Burton 02b,697,566,27,7,0,1297,9,1306
Precinct,Burton 02c,952,551,15,4,2,1524,6,1530
Precinct,Burton 03,138,213,2,2,0,355,2,357
Precinct,Chechessee 01,876,531,7,1,0,1415,18,1433
Precinct,Chechessee 02,841,553,16,1,1,1412,11,1423
Precinct,Dale Lobeco,256,579,6,1,1,843,6,849
Precinct,Daufuskie,214,125,3,0,0,342,1,343
Precinct,Failsafe,87,63,6,0,0,156,1,157
Precinct,Failsafe Provisional,42,33,4,0,0,79,0,79
Precinct,Hilton Head 01a,449,462,11,4,0,926,11,937
Precinct,Hilton Head 01b,434,493,2,0,1,930,14,944
Precinct,Hilton Head 02a,542,515,7,2,0,1066,6,1072
Precinct,Hilton Head 02b,358,570,11,3,1,943,8,951
Precinct,Hilton Head 02c,851,531,10,0,1,1393,16,1409
Precinct,Hilton Head 03,491,269,1,0,0,761,5,766
Precinct,Hilton Head 04a,396,311,7,4,0,718,8,726
Precinct,Hilton Head 04b,592,457,3,0,1,1053,16,1069
Precinct,Hilton Head 04c,475,359,6,1,1,842,7,849
Precinct,Hilton Head 04d,465,420,4,1,1,891,8,899
Precinct,Hilton Head 05a,465,376,3,5,0,849,10,859
Precinct,Hilton Head 05b,455,344,5,1,0,805,6,811
Precinct,Hilton Head 05c,445,295,10,2,2,754,5,759
Precinct,Hilton Head 06,667,451,6,3,1,1128,15,1143
Precinct,Hilton Head 07a,593,426,4,1,0,1024,10,1034
Precinct,Hilton Head 07b,696,454,6,3,0,1159,8,1167
Precinct,Hilton Head 08,369,302,3,1,0,675,8,683
Precinct,Hilton Head 09a,641,552,12,4,1,1210,6,1216
Precinct,Hilton Head 09b,769,351,5,1,2,1128,10,1138
Precinct,Hilton Head 10,737,610,17,4,1,1369,15,1384
Precinct,Hilton Head 11,538,401,4,0,0,943,7,950
Precinct,Hilton Head 12,312,245,3,0,0,560,8,568
Precinct,Hilton Head 13,421,345,12,2,1,781,5,786
Precinct,Hilton Head 14,474,309,8,1,0,792,7,799
Precinct,Hilton Head 15a,247,198,1,2,0,448,4,452
Precinct,Hilton Head 15b,433,316,1,1,0,751,8,759
Precinct,Ladys Island 01a,590,529,18,1,1,1139,1,1140
Precinct,Ladys Island 01b,640,616,12,4,0,1272,13,1285
Precinct,Ladys Island 02a,781,380,20,3,1,1185,8,1193
Precinct,Ladys Island 02b,604,399,10,1,0,1014,6,1020
Precinct,Ladys Island 02c,441,262,8,1,1,713,3,716
Precinct,Ladys Island 03a,479,320,10,0,1,810,5,815
Precinct,Ladys Island 03b,624,336,16,4,1,981,10,991
Precinct,Ladys Island 03c,454,278,12,3,1,748,2,750
Precinct,Moss Creek,772,535,1,2,0,1310,9,1319
Precinct,Mossy Oaks 01a,406,246,17,0,1,670,7,677
Precinct,Mossy Oaks 01b,500,322,21,5,0,848,8,856
Precinct,Mossy Oaks 02,422,351,12,4,1,790,10,800
Precinct,New River,1159,671,31,4,1,1866,7,1873
Precinct,Palmetto Bluff,372,198,4,0,0,574,8,582
Precinct,Port Royal 01,413,405,10,2,0,830,3,833
Precinct,Port Royal 02,338,433,12,3,1,787,5,792
Precinct,Provisional,194,153,4,0,2,353,0,353
Precinct,Rose Hill,992,465,10,1,0,1468,9,1477
Precinct,Saint Helena 01a,167,746,8,2,1,924,12,936
Precinct,Saint Helena 01b,254,747,6,1,2,1010,17,1027
Precinct,Saint Helena 01c,686,508,11,0,1,1206,12,1218
Precinct,Saint Helena 02a,374,599,8,2,0,983,8,991
Precinct,Saint Helena 02b,227,683,2,1,1,914,7,921
Precinct,Saint Helena 02c,540,337,1,4,0,882,7,889
Precinct,Sandy Pointe,442,386,15,3,1,847,3,850
Precinct,Seabrook 01,321,388,5,3,0,717,5,722
Precinct,Seabrook 02,204,449,4,3,0,660,2,662
Precinct,Seabrook 03,382,520,2,1,1,906,7,913
Precinct,Sheldon 01,354,435,9,3,0,801,13,814
Precinct,Sheldon 02,68,466,4,0,0,538,4,542
Precinct,Sun City 01,702,541,2,2,1,1248,5,1253
Precinct,Sun City 02,540,414,7,3,1,965,10,975
Precinct,Sun City 03,803,585,9,0,2,1399,15,1414
Precinct,Sun City 04,653,473,12,0,2,1140,11,1151
Precinct,Sun City 05,751,515,7,0,0,1273,17,1290
Precinct,Sun City 06,664,501,3,2,3,1173,13,1186
Precinct,Sun City 07,546,416,3,1,0,966,10,976
Precinct,Sun City 08,614,540,4,2,2,1162,6,1168
County,Berkeley,57397,45223,1485,276,77,104458,629,105087
Precinct,52,422,606,16,1,2,1047,4,1051
Precinct,78,578,503,9,3,0,1093,6,1099
Precinct,Alvin,285,379,7,2,0,673,8,681
Precinct,Bethera,172,18,0,0,0,190,2,192
Precinct,Beverly Hills,422,458,14,7,0,901,17,918
Precinct,Bonneau,609,326,6,1,0,942,5,947
Precinct,Bonneau Beach,912,246,5,1,0,1164,5,1169
Precinct,Boulder Bluff,667,859,22,6,4,1558,14,1572
Precinct,Bushy Park,33,5,0,0,0,38,0,38
Precinct,Cainhoy,279,655,4,2,0,940,9,949
Precinct,Cane Bay,1198,939,61,9,3,2210,7,2217
Precinct,Cane Bay East,944,606,4,6,2,1562,18,1580
Precinct,Cane Bay North,742,443,12,5,0,1202,4,1206
Precinct,Cane Bay South,800,548,24,2,1,1375,9,1384
Precinct,Carnes Cross Roads 01,795,149,9,1,0,954,9,963
Precinct,Carnes Cross Roads 02,531,271,14,2,0,818,1,819
Precinct,Central,883,824,26,14,0,1747,14,1761
Precinct,Cobblestone,402,517,12,2,0,933,5,938
Precinct,Cordesville,567,329,5,1,1,903,8,911
Precinct,Cross,443,348,9,2,0,802,6,808
Precinct,Cypress,674,687,23,2,0,1386,9,1395
Precinct,Daniel Island 01,1187,648,15,5,1,1856,22,1878
Precinct,Daniel Island 02,722,704,16,4,1,1447,9,1456
Precinct,Daniel Island 03,822,682,20,4,0,1528,21,1549
Precinct,Daniel Island 04,1337,977,39,2,0,2355,12,2367
Precinct,Devon Forest 01,780,669,24,7,1,1481,6,1487
Precinct,Devon Forest 02,636,500,29,0,0,1165,4,1169
Precinct,Discovery,697,769,29,2,2,1499,12,1511
Precinct,Eadytown,143,326,1,1,0,471,4,475
Precinct,Failsafe,26,16,1,0,0,43,0,43
Precinct,Failsafe Provisional,51,23,0,0,0,74,2,76
Precinct,Foster Creek 01,461,372,14,2,0,849,1,850
Precinct,Foster Creek 02,924,604,41,5,3,1577,3,1580
Precinct,Foster Creek 03,692,560,16,3,1,1272,2,1274
Precinct,Fox Bank,1023,732,41,7,1,1804,8,1812
Precinct,Hanahan 01,1205,518,25,2,1,1751,9,1760
Precinct,Hanahan 02,542,381,19,2,0,944,4,948
Precinct,Hanahan 03,657,311,13,8,2,991,10,1001
Precinct,Hanahan 04,448,401,19,11,3,882,3,885
Precinct,Hanahan 05,714,220,17,2,0,953,6,959
Precinct,Harbour Lake,315,703,21,4,1,1044,6,1050
Precinct,Hilton Cross Road,474,662,8,1,0,1145,7,1152
Precinct,Horseshoe,502,379,11,0,0,892,5,897
Precinct,Howe Hall 01,627,884,20,3,1,1535,7,1542
Precinct,Howe Hall 02,372,375,13,4,1,765,5,770
Precinct,Huger,361,582,10,2,0,955,10,965
Precinct,Jamestown,164,225,5,1,1,396,7,403
Precinct,Lebanon,475,135,11,0,0,621,4,625
Precinct,Liberty Hall,765,940,26,10,0,1741,10,1751
Precinct,Live Oak,912,172,9,0,3,1096,9,1105
Precinct,Macedonia,972,130,15,1,0,1118,0,1118
Precinct,Macedonia 02,130,7,1,0,0,138,1,139
Precinct,Mcbeth,467,261,1,1,2,732,3,735
Precinct,Medway,744,1006,29,5,2,1786,14,1800
Precinct,Moncks Corner 01,764,539,15,4,1,1323,5,1328
Precinct,Moncks Corner 02,566,599,12,2,0,1179,6,1185
Precinct,Moncks Corner 03,627,885,24,6,1,1543,8,1551
Precinct,Moncks Corner 04,897,293,15,2,3,1210,10,1220
Precinct,Moultrie,208,749,3,3,1,964,13,977
Precinct,Nexton,775,566,29,2,0,1372,6,1378
Precinct,North Creek,232,195,11,1,0,439,1,440
Precinct,Old 52,495,309,14,1,0,819,4,823
Precinct,Pimlico,756,199,4,1,0,960,7,967
Precinct,Pine Grove,0,0,0,0,0,0,0,0
Precinct,Pinopolis,1170,284,13,0,0,1467,9,1476
Precinct,Pomflant,0,0,0,0,0,0,0,0
Precinct,Provisional,58,70,2,0,0,130,1,131
Precinct,Royle,506,365,19,5,1,896,5,901
Precinct,Russellville,161,851,3,0,1,1016,10,1026
Precinct,Sangaree 01,436,295,9,1,0,741,4,745
Precinct,Sangaree 02,647,429,20,3,0,1099,5,1104
Precinct,Sangaree 03,522,396,14,2,0,934,2,936
Precinct,Sedgefield 01,485,628,14,3,2,1132,8,1140
Precinct,Sedgefield 02,194,194,16,1,0,405,3,408
Precinct,Sedgefield 03,237,173,6,2,0,418,3,421
Precinct,Shulerville,174,116,2,1,1,294,4,298
Precinct,St. James,558,489,15,3,0,1065,4,1069
Precinct,St. Stephen 01,172,819,2,3,1,997,7,1004
Precinct,St. Stephen 02,474,518,9,4,0,1005,10,1015
Precinct,Stone Lake,679,392,23,2,1,1097,7,1104
Precinct,Stratford 01,536,441,5,6,1,989,4,993
Precinct,Stratford 02,1045,492,14,2,2,1555,9,1564
Precinct,Stratford 03,818,641,28,0,2,1489,7,1496
Precinct,Stratford 04,675,503,17,4,0,1199,9,1208
Precinct,Stratford 05,411,531,15,7,1,965,3,968
Precinct,The Village,1244,663,44,1,3,1955,8,1963
Precinct,Tramway,652,408,15,4,3,1082,2,1084
Precinct,Wassamassaw 01,352,460,7,0,0,819,3,822
Precinct,Wassamassaw 02,1073,713,26,6,2,1820,10,1830
Precinct,Weatherstone,682,647,28,2,2,1361,5,1366
Precinct,Westview 01,764,352,16,3,1,1136,3,1139
Precinct,Westview 02,793,467,24,1,2,1287,1,1288
Precinct,Westview 03,743,376,19,4,1,1143,10,1153
Precinct,Westview 04,754,397,23,4,3,1181,7,1188
Precinct,Whitesville 01,654,789,21,5,1,1470,4,1474
Precinct,Whitesville 02,367,358,9,0,0,734,5,739
Precinct,Wildcat Trail,180,105,4,1,0,290,1,291
Precinct,Yeaman's Club,74,34,3,2,0,113,1,114
Precinct,Yellow House,1082,903,32,4,0,2021,9,2030
County,Calhoun,4305,3905,58,18,5,8291,75,8366
Precinct,Bethel,499,211,2,2,0,714,8,722
Precinct,Cameron,262,281,10,2,0,555,7,562
Precinct,Center Hill,443,430,5,2,0,880,4,884
Precinct,Creston,88,71,2,1,0,162,4,166
Precinct,Dixie,359,1141,10,5,2,1517,15,1532
Precinct,Failsafe,12,16,0,0,0,28,0,28
Precinct,Failsafe Provisional,3,2,0,0,0,5,0,5
Precinct,Fall Branch,216,155,1,1,1,374,5,379
Precinct,Fort Motte,101,93,0,0,0,194,0,194
Precinct,Lone Star,438,350,3,0,0,791,7,798
Precinct,Midway,196,60,0,0,0,256,3,259
Precinct,Murph Hill,140,209,1,0,0,350,5,355
Precinct,Provisional,0,0,0,0,0,0,0,0
Precinct,Sandy Run,918,348,14,3,1,1284,8,1292
Precinct,St. Matthews,630,538,10,2,1,1181,9,1190
County,Charleston,93297,121485,3177,743,155,218857,1937,220794
Precinct,Awendaw,500,605,11,1,0,1117,12,1129
Precinct,Charleston 01,363,265,8,1,0,637,7,644
Precinct,Charleston 02,396,324,5,0,0,725,8,733
Precinct,Charleston 03,301,459,15,5,0,780,12,792
Precinct,Charleston 04,233,387,11,2,0,633,3,636
Precinct,Charleston 05,231,368,7,2,1,609,2,611
Precinct,Charleston 06,273,520,10,5,0,808,11,819
Precinct,Charleston 07,273,518,8,4,1,804,7,811
Precinct,Charleston 08,82,657,12,5,0,756,8,764
Precinct,Charleston 09,121,415,4,5,1,546,8,554
Precinct,Charleston 10,51,236,6,1,0,294,2,296
Precinct,Charleston 11,252,609,15,4,0,880,2,882
