state,election_year,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,trump,harris,oliver,stein,sonski,de_la_cruz,ayyadurai,potus,source_jurisdictions,normalization_note
MO,2024,Montgomery County,29139,county:29139,4776,1170,39,11,0,0,2,0,Montgomery County,
MO,2024,Morgan County,29141,county:29141,7725,1914,63,31,0,2,0,0,Morgan County,
MO,2024,New Madrid County,29143,county:29143,5203,1561,34,13,0,0,0,0,New Madrid County,
MO,2024,Newton County,29145,county:29145,22923,5867,173,120,10,4,0,0,Newton County,
MO,2024,Nodaway County,29147,county:29147,6909,2674,63,36,5,2,0,0,Nodaway County,
MO,2024,Oregon County,29149,county:29149,3884,696,20,12,0,1,0,0,Oregon County,
MO,2024,Osage County,29151,county:29151,6657,1009,46,13,1,1,0,0,Osage County,
MO,2024,Ozark County,29153,county:29153,4044,698,26,11,1,0,0,0,Ozark County,
MO,2024,Pemiscot County,29155,county:29155,3917,1331,16,6,0,0,0,0,Pemiscot County,
MO,2024,Perry County,29157,county:29157,7986,1757,51,29,1,0,0,0,Perry County,
MO,2024,Pettis County,29159,county:29159,13907,4703,172,95,3,1,1,0,Pettis County,
MO,2024,Phelps County,29161,county:29161,13658,5379,160,97,6,0,0,0,Phelps County,
MO,2024,Pike County,29163,county:29163,6151,1618,35,20,0,0,0,0,Pike County,
MO,2024,Platte County,29165,county:29165,29381,27566,535,305,22,7,1,0,Platte County,
MO,2024,Polk County,29167,county:29167,12691,2948,133,45,7,1,1,0,Polk County,
MO,2024,Pulaski County,29169,county:29169,11579,3765,115,86,2,2,0,0,Pulaski County,
MO,2024,Putnam County,29171,county:29171,2021,347,7,5,0,0,0,0,Putnam County,
MO,2024,Ralls County,29173,county:29173,4575,1154,32,16,0,0,0,0,Ralls County,
MO,2024,Randolph County,29175,county:29175,8322,2571,89,43,1,2,0,0,Randolph County,
MO,2024,Ray County,29177,county:29177,8602,2927,82,51,0,0,0,0,Ray County,
MO,2024,Reynolds County,29179,county:29179,2560,472,17,8,2,0,0,0,Reynolds County,
MO,2024,Ripley County,29181,county:29181,5002,763,27,12,0,0,0,0,Ripley County,
MO,2024,Saline County,29195,county:29195,6498,2726,63,43,0,0,0,0,Saline County,
MO,2024,Schuyler County,29197,county:29197,1588,334,20,3,0,0,0,0,Schuyler County,
MO,2024,Scotland County,29199,county:29199,1537,358,12,11,0,0,0,0,Scotland County,
MO,2024,Scott County,29201,county:29201,13786,3525,67,40,3,0,0,0,Scott County,
MO,2024,Shannon County,29203,county:29203,3364,625,17,7,4,1,0,0,Shannon County,
MO,2024,Shelby County,29205,county:29205,2691,550,15,6,0,0,0,0,Shelby County,
MO,2024,St. Charles County,29183,county:29183,130588,92226,2048,1190,82,23,5,4,St. Charles County,
MO,2024,St. Clair County,29185,county:29185,3982,959,32,14,2,0,1,0,St. Clair County,
MO,2024,St. Francois County,29187,county:29187,21521,6811,174,108,1,0,0,0,St. Francois County,
MO,2024,St. Louis City,29510,county:29510,19342,94458,861,1421,66,123,0,0,St. Louis City,
MO,2024,St. Louis County,29189,county:29189,187982,305635,4489,4250,264,114,3,1,St. Louis County,
MO,2024,Ste. Genevieve County,29186,county:29186,7031,2629,70,45,1,0,0,0,Ste. Genevieve County,
MO,2024,Stoddard County,29207,county:29207,11783,1736,55,25,0,0,0,0,Stoddard County,
MO,2024,Stone County,29209,county:29209,15357,3620,90,55,0,1,0,0,Stone County,
MO,2024,Sullivan County,29211,county:29211,2035,408,11,9,0,0,0,0,Sullivan County,
MO,2024,Taney County,29213,county:29213,21236,5329,161,85,12,1,0,0,Taney County,
MO,2024,Texas County,29215,county:29215,9855,1589,46,35,0,0,0,0,Texas County,
MO,2024,Vernon County,29217,county:29217,7112,1774,58,29,0,0,0,0,Vernon County,
MO,2024,Warren County,29219,county:29219,14915,4970,141,68,0,1,0,0,Warren County,
MO,2024,Washington County,29221,county:29221,8424,1747,39,25,2,0,0,0,Washington County,
MO,2024,Wayne County,29223,county:29223,5030,783,19,15,0,0,0,0,Wayne County,
MO,2024,Webster County,29225,county:29225,15984,3653,127,44,3,3,0,0,Webster County,
MO,2024,Worth County,29227,county:29227,904,190,9,2,0,0,0,0,Worth County,
MO,2024,Wright County,29229,county:29229,7850,1057,46,25,0,1,0,1,Wright County,
