state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,dem_dropoff,rep_dropoff
NY,2024,Albany County,ALBANY WARD 7 ED 4,20,9,0,29,18,5,0,,
NY,2024,Albany County,ALBANY WARD 7 ED 5,299,54,0,353,304,46,2,,
NY,2024,Albany County,ALBANY WARD 7 ED 6,394,98,0,492,401,80,3,,
NY,2024,Albany County,ALBANY WARD 8 ED 1,372,126,0,498,382,108,3,,
NY,2024,Albany County,ALBANY WARD 8 ED 2,457,136,0,593,465,123,0,,
NY,2024,Albany County,ALBANY WARD 8 ED 3,773,307,0,1080,799,264,7,,
NY,2024,Albany County,ALBANY WARD 8 ED 4,345,102,0,447,365,83,4,,
NY,2024,Albany County,ALBANY WARD 8 ED 5,618,222,0,840,637,194,2,,
NY,2024,Albany County,ALBANY WARD 8 ED 6,332,101,0,433,345,89,5,,
NY,2024,Albany County,ALBANY WARD 9 ED 1,206,40,0,246,212,31,2,,
NY,2024,Albany County,ALBANY WARD 9 ED 2,306,59,0,365,304,53,4,,
NY,2024,Albany County,ALBANY WARD 9 ED 3,363,76,0,439,367,67,2,,
NY,2024,Albany County,ALBANY WARD 9 ED 4,355,87,0,442,368,74,0,,
NY,2024,Albany County,ALBANY WARD 9 ED 5,384,78,0,462,389,69,6,,
NY,2024,Albany County,ALBANY WARD 9 ED 6,325,68,0,393,336,63,0,,
NY,2024,Albany County,ALBANY WARD 9 ED 7,243,68,0,311,247,64,3,,
NY,2024,Albany County,ALBANY WARD 9 ED 8,238,58,0,296,240,47,0,,
NY,2024,Albany County,BERNE ED 1,367,472,0,839,398,429,0,,
NY,2024,Albany County,BERNE ED 2,341,584,0,925,367,528,4,,
NY,2024,Albany County,BETHLEHEM ED 1,127,187,0,314,138,170,2,,
NY,2024,Albany County,BETHLEHEM ED 10,603,318,0,921,607,307,7,,
NY,2024,Albany County,BETHLEHEM ED 11,446,263,0,709,446,263,0,,
NY,2024,Albany County,BETHLEHEM ED 12,875,216,0,1091,864,224,3,,
NY,2024,Albany County,BETHLEHEM ED 13,507,124,0,631,499,125,2,,
NY,2024,Albany County,BETHLEHEM ED 14,712,249,0,961,721,233,6,,
NY,2024,Albany County,BETHLEHEM ED 15,634,277,0,911,638,268,6,,
NY,2024,Albany County,BETHLEHEM ED 16,706,212,0,918,695,217,6,,
NY,2024,Albany County,BETHLEHEM ED 17,751,281,0,1032,749,267,6,,
NY,2024,Albany County,BETHLEHEM ED 18,540,256,0,796,553,237,0,,
NY,2024,Albany County,BETHLEHEM ED 19,769,300,0,1069,780,312,2,,
NY,2024,Albany County,BETHLEHEM ED 2,123,156,0,279,130,140,0,,
NY,2024,Albany County,BETHLEHEM ED 20,417,165,0,582,415,169,3,,
NY,2024,Albany County,BETHLEHEM ED 21,696,298,0,994,697,292,0,,
NY,2024,Albany County,BETHLEHEM ED 22,487,294,0,781,513,269,5,,
NY,2024,Albany County,BETHLEHEM ED 23,257,123,0,380,252,119,2,,
NY,2024,Albany County,BETHLEHEM ED 24,510,247,0,757,505,250,5,,
NY,2024,Albany County,BETHLEHEM ED 25,789,163,0,952,785,170,7,,
NY,2024,Albany County,BETHLEHEM ED 26,540,174,0,714,542,183,2,,
NY,2024,Albany County,BETHLEHEM ED 27,265,197,0,462,275,174,5,,
NY,2024,Albany County,BETHLEHEM ED 3,536,512,0,1048,565,460,3,,
NY,2024,Albany County,BETHLEHEM ED 4,137,121,0,258,140,108,1,,
NY,2024,Albany County,BETHLEHEM ED 5,783,473,0,1256,790,453,4,,
NY,2024,Albany County,BETHLEHEM ED 6,401,285,0,686,409,267,1,,
NY,2024,Albany County,BETHLEHEM ED 7,694,376,0,1070,695,364,5,,
NY,2024,Albany County,BETHLEHEM ED 8,773,334,0,1107,788,325,5,,
NY,2024,Albany County,BETHLEHEM ED 9,713,353,0,1066,708,358,1,,
NY,2024,Albany County,COEYMANS ED 1,302,287,0,589,335,245,2,,
NY,2024,Albany County,COEYMANS ED 2,444,482,0,926,499,402,6,,
NY,2024,Albany County,COEYMANS ED 3,261,369,0,630,292,327,1,,
NY,2024,Albany County,COEYMANS ED 4,294,553,0,847,329,511,1,,
NY,2024,Albany County,COEYMANS ED 5,186,450,0,636,208,423,4,,
NY,2024,Albany County,COHOES WARD 1 ED 1,13,12,0,25,16,9,0,,
NY,2024,Albany County,COHOES WARD 1 ED 2,305,254,0,559,349,200,2,,
NY,2024,Albany County,COHOES WARD 1 ED 3,208,115,0,323,215,95,2,,
NY,2024,Albany County,COHOES WARD 2 ED 1,223,124,0,347,223,106,1,,
NY,2024,Albany County,COHOES WARD 2 ED 2,84,58,0,142,86,41,1,,
NY,2024,Albany County,COHOES WARD 2 ED 3,84,79,0,163,94,59,2,,
NY,2024,Albany County,COHOES WARD 2 ED 4,84,87,0,171,92,68,1,,
NY,2024,Albany County,COHOES WARD 3 ED 1,134,93,0,227,144,68,1,,
NY,2024,Albany County,COHOES WARD 3 ED 2,162,124,0,286,170,103,4,,
NY,2024,Albany County,COHOES WARD 3 ED 3,222,165,0,387,229,145,0,,
NY,2024,Albany County,COHOES WARD 4 ED 1,362,282,0,644,390,239,5,,
NY,2024,Albany County,COHOES WARD 4 ED 2,72,53,0,125,82,39,0,,
NY,2024,Albany County,COHOES WARD 4 ED 3,291,253,0,544,322,210,3,,
NY,2024,Albany County,COHOES WARD 4 ED 4,133,96,0,229,136,85,2,,
NY,2024,Albany County,COHOES WARD 5 ED 1,270,253,0,523,292,213,2,,
NY,2024,Albany County,COHOES WARD 5 ED 2,207,228,0,435,233,185,1,,
NY,2024,Albany County,COHOES WARD 5 ED 3,117,117,0,234,136,91,0,,
NY,2024,Albany County,COHOES WARD 5 ED 4,273,229,0,502,300,183,5,,
NY,2024,Albany County,COHOES WARD 6 ED 1,216,125,0,341,224,95,3,,
NY,2024,Albany County,COHOES WARD 6 ED 2,311,172,0,483,331,135,2,,
NY,2024,Albany County,COHOES WARD 6 ED 3,169,191,0,360,188,153,2,,
NY,2024,Albany County,COLONIE ED 1,792,582,0,1374,814,540,7,,
NY,2024,Albany County,COLONIE ED 10,738,547,0,1285,737,523,12,,
NY,2024,Albany County,COLONIE ED 11,572,396,0,968,592,379,7,,
NY,2024,Albany County,COLONIE ED 12,590,534,0,1124,659,466,16,,
NY,2024,Albany County,COLONIE ED 13,663,320,0,983,676,282,10,,
NY,2024,Albany County,COLONIE ED 14,56,67,0,123,59,60,0,,
NY,2024,Albany County,COLONIE ED 15,618,361,0,979,638,319,11,,
NY,2024,Albany County,COLONIE ED 16,592,447,0,1039,597,433,2,,
NY,2024,Albany County,COLONIE ED 17,774,609,0,1383,806,582,15,,
NY,2024,Albany County,COLONIE ED 18,811,634,0,1445,847,587,3,,
NY,2024,Albany County,COLONIE ED 19,817,527,0,1344,811,531,1,,
NY,2024,Albany County,COLONIE ED 2,764,559,0,1323,785,534,8,,
NY,2024,Albany County,COLONIE ED 20,588,400,0,988,614,376,7,,
NY,2024,Albany County,COLONIE ED 21,432,233,0,665,454,204,6,,
NY,2024,Albany County,COLONIE ED 22,1014,407,0,1421,1019,376,11,,
NY,2024,Albany County,COLONIE ED 23,615,408,0,1023,630,388,3,,
NY,2024,Albany County,COLONIE ED 24,546,458,0,1004,599,391,1,,
NY,2024,Albany County,COLONIE ED 25,701,537,0,1238,734,477,5,,
NY,2024,Albany County,COLONIE ED 26,748,603,0,1351,770,558,4,,
NY,2024,Albany County,COLONIE ED 27,735,470,0,1205,769,416,15,,
NY,2024,Albany County,COLONIE ED 28,697,560,0,1257,742,484,7,,
NY,2024,Albany County,COLONIE ED 29,354,299,0,653,377,256,4,,
NY,2024,Albany County,COLONIE ED 3,822,726,0,1548,873,671,10,,
NY,2024,Albany County,COLONIE ED 30,384,234,0,618,390,230,0,,
NY,2024,Albany County,COLONIE ED 31,653,535,0,1188,681,496,7,,
NY,2024,Albany County,COLONIE ED 32,709,679,0,1388,750,618,4,,
NY,2024,Albany County,COLONIE ED 33,576,579,0,1155,611,525,4,,
NY,2024,Albany County,COLONIE ED 34,687,720,0,1407,715,672,10,,
NY,2024,Albany County,COLONIE ED 35,458,451,0,909,480,403,6,,
NY,2024,Albany County,COLONIE ED 36,321,303,0,624,332,272,2,,
NY,2024,Albany County,COLONIE ED 37,370,360,0,730,385,330,5,,
NY,2024,Albany County,COLONIE ED 38,471,465,0,936,511,406,0,,
NY,2024,Albany County,COLONIE ED 39,692,582,0,1274,727,521,7,,
NY,2024,Albany County,COLONIE ED 4,539,509,0,1048,580,461,13,,
NY,2024,Albany County,COLONIE ED 40,631,570,0,1201,671,515,6,,
NY,2024,Albany County,COLONIE ED 41,130,84,0,214,136,79,0,,
NY,2024,Albany County,COLONIE ED 42,336,259,0,595,350,240,3,,
NY,2024,Albany County,COLONIE ED 43,477,445,0,922,517,389,2,,
NY,2024,Albany County,COLONIE ED 5,317,311,0,628,345,267,3,,
NY,2024,Albany County,COLONIE ED 6,875,676,0,1551,943,629,12,,
NY,2024,Albany County,COLONIE ED 7,565,372,0,937,571,342,17,,
NY,2024,Albany County,COLONIE ED 8,364,298,0,662,386,263,5,,
NY,2024,Albany County,COLONIE ED 9,537,349,0,886,558,312,9,,
NY,2024,Albany County,GREEN ISLAND ED 1,413,245,0,658,435,202,3,,
NY,2024,Albany County,GREEN ISLAND ED 2,309,213,0,522,352,149,3,,
NY,2024,Albany County,GUILDERLAND ED 1,57,8,0,65,52,7,1,,
NY,2024,Albany County,GUILDERLAND ED 10,860,530,0,1390,880,505,4,,
NY,2024,Albany County,GUILDERLAND ED 11,623,423,0,1046,642,383,6,,
NY,2024,Albany County,GUILDERLAND ED 12,400,122,0,522,417,103,4,,
NY,2024,Albany County,GUILDERLAND ED 13,583,335,0,918,607,299,1,,
NY,2024,Albany County,GUILDERLAND ED 14,826,454,0,1280,852,405,9,,
NY,2024,Albany County,GUILDERLAND ED 15,734,388,0,1122,748,378,3,,
NY,2024,Albany County,GUILDERLAND ED 16,584,319,0,903,596,300,1,,
NY,2024,Albany County,GUILDERLAND ED 17,399,143,0,542,410,124,4,,
NY,2024,Albany County,GUILDERLAND ED 18,499,263,0,762,506,256,2,,
NY,2024,Albany County,GUILDERLAND ED 19,671,513,0,1184,685,489,2,,
NY,2024,Albany County,GUILDERLAND ED 20,95,135,0,230,101,117,1,,
NY,2024,Albany County,GUILDERLAND ED 21,332,317,0,649,334,311,2,,
NY,2024,Albany County,GUILDERLAND ED 22,628,390,0,1018,647,361,3,,
NY,2024,Albany County,GUILDERLAND ED 23,396,150,0,546,409,134,5,,
NY,2024,Albany County,GUILDERLAND ED 24,578,369,0,947,585,335,9,,
NY,2024,Albany County,GUILDERLAND ED 25,259,172,0,431,270,165,0,,
NY,2024,Albany County,GUILDERLAND ED 3,384,451,0,835,405,420,6,,
NY,2024,Albany County,GUILDERLAND ED 4,446,369,0,815,457,351,4,,
NY,2024,Albany County,GUILDERLAND ED 5,492,345,0,837,525,307,2,,
NY,2024,Albany County,GUILDERLAND ED 6,463,351,0,814,477,327,4,,
NY,2024,Albany County,GUILDERLAND ED 7,704,596,0,1300,725,569,2,,
NY,2024,Albany County,GUILDERLAND ED 8,629,350,0,979,631,338,5,,
NY,2024,Albany County,GUILDERLAND ED 9,742,371,0,1113,753,372,5,,
NY,2024,Albany County,KNOX ED 1,293,540,0,833,323,484,2,,
NY,2024,Albany County,KNOX ED 2,352,441,0,793,370,415,3,,
NY,2024,Albany County,NEW SCOTLAND ED 1,477,366,0,843,503,330,4,,
NY,2024,Albany County,NEW SCOTLAND ED 2,556,367,0,923,564,348,1,,
NY,2024,Albany County,NEW SCOTLAND ED 3,767,572,0,1339,783,555,4,,
NY,2024,Albany County,NEW SCOTLAND ED 4,370,515,0,885,405,465,6,,
NY,2024,Albany County,NEW SCOTLAND ED 5,58,57,0,115,65,53,2,,
NY,2024,Albany County,NEW SCOTLAND ED 6,504,365,0,869,531,336,6,,
NY,2024,Albany County,NEW SCOTLAND ED 7,411,416,0,827,438,389,3,,
NY,2024,Albany County,RENSSELAERVILLE ED 1,233,215,0,448,248,200,7,,
NY,2024,Albany County,RENSSELAERVILLE ED 2,135,238,0,373,150,220,3,,
NY,2024,Albany County,RENSSELAERVILLE ED 3,131,216,0,347,138,195,2,,
NY,2024,Albany County,WATERVLIET ED 1,363,294,0,657,389,221,4,,
NY,2024,Albany County,WATERVLIET ED 2,391,298,0,689,411,246,4,,
NY,2024,Albany County,WATERVLIET ED 3,351,297,0,648,388,229,4,,
NY,2024,Albany County,WATERVLIET ED 4,510,440,0,950,555,355,9,,
NY,2024,Albany County,WATERVLIET ED 5,53,25,0,78,54,18,0,,
NY,2024,Albany County,WATERVLIET ED 6,225,224,0,449,267,163,4,,
NY,2024,Albany County,WESTERLO ED 1,405,758,0,1163,445,700,0,,
NY,2024,Albany County,WESTERLO ED 2,237,518,0,755,277,464,2,,
NY,2024,Allegany County,Alfred 1,399,111,12,522,397,100,1,,
NY,2024,Allegany County,Alfred 2,285,301,13,599,293,296,2,,
NY,2024,Allegany County,Allen,51,213,3,267,61,201,0,,
NY,2024,Allegany County,Alma,66,325,8,399,72,314,3,,
NY,2024,Allegany County,Almond,237,579,10,826,247,561,3,,
NY,2024,Allegany County,Amity 1,123,289,7,419,131,277,4,,
NY,2024,Allegany County,Amity 2,178,446,6,630,187,414,3,,
NY,2024,Allegany County,Andover 1,127,354,5,486,126,345,3,,
NY,2024,Allegany County,Andover 2,72,306,5,383,81,295,2,,
NY,2024,Allegany County,Angelica 1,99,256,7,362,97,248,5,,
NY,2024,Allegany County,Angelica 2,80,233,2,315,80,224,1,,
NY,2024,Allegany County,Belfast,177,560,3,740,189,517,4,,
NY,2024,Allegany County,Birdsall,32,83,0,115,35,76,0,,
NY,2024,Allegany County,Bolivar,221,666,3,890,242,622,1,,
NY,2024,Allegany County,Burns,93,445,0,538,121,398,1,,
NY,2024,Allegany County,Caneadea,249,513,39,801,269,512,12,,
NY,2024,Allegany County,Centerville,46,269,5,320,57,254,3,,
NY,2024,Allegany County,Clarksville,118,348,2,468,127,327,3,,
NY,2024,Allegany County,Cuba 1,291,354,9,654,306,322,5,,
NY,2024,Allegany County,Cuba 2,297,592,3,892,300,575,3,,
NY,2024,Allegany County,Friendship,169,647,5,821,186,608,2,,
NY,2024,Allegany County,Genesee,168,569,6,743,194,532,4,,
NY,2024,Allegany County,Granger,36,226,0,262,38,215,2,,
NY,2024,Allegany County,Grove,66,238,5,309,79,225,1,,
NY,2024,Allegany County,Hume,208,651,13,872,213,626,3,,
NY,2024,Allegany County,Independence,85,395,3,483,99,359,1,,
NY,2024,Allegany County,New Hudson,69,255,2,326,73,249,3,,
NY,2024,Allegany County,Rushford,151,474,6,631,170,445,3,,
NY,2024,Allegany County,Scio,193,615,5,813,213,586,1,,
NY,2024,Allegany County,Ward,53,144,2,199,54,141,0,,
NY,2024,Allegany County,Wellsville 1,234,388,5,627,252,351,0,,
NY,2024,Allegany County,Wellsville 2,254,373,7,634,278,337,8,,
NY,2024,Allegany County,Wellsville 3,277,420,5,702,282,405,3,,
NY,2024,Allegany County,Wellsville 4,152,362,8,522,157,350,1,,
NY,2024,Allegany County,Wellsville 5,160,434,1,595,174,406,2,,
NY,2024,Allegany County,West Almond,38,118,1,157,41,111,0,,
NY,2024,Allegany County,Willing,178,452,6,636,189,420,1,,
NY,2024,Allegany County,Wirt,70,421,1,492,90,384,3,,
NY,2024,Bronx County,AD 77 ED 001,421,190,6,617,0,0,0,-2.61,19.47
NY,2024,Bronx County,AD 77 ED 002,550,216,6,772,0,0,0,2.91,15.74
NY,2024,Bronx County,AD 77 ED 003,511,174,2,687,0,0,0,0,20.69
NY,2024,Bronx County,AD 77 ED 004,126,35,2,163,0,0,0,0,28.57
NY,2024,Bronx County,AD 77 ED 005,512,205,2,719,0,0,0,2.93,20.49
NY,2024,Bronx County,AD 77 ED 006,513,180,3,696,0,0,0,6.24,26.11
NY,2024,Bronx County,AD 77 ED 007,528,231,4,763,0,0,0,-2.46,25.97
NY,2024,Bronx County,AD 77 ED 008,469,173,7,649,0,0,0,2.56,20.23
NY,2024,Bronx County,AD 77 ED 009,534,230,6,770,0,0,0,1.31,19.13
NY,2024,Bronx County,AD 77 ED 010,483,216,6,705,0,0,0,1.24,19.91
NY,2024,Bronx County,AD 77 ED 011,500,224,3,727,0,0,0,1.8,20.54
NY,2024,Bronx County,AD 77 ED 012,526,160,8,694,0,0,0,3.42,16.25
NY,2024,Bronx County,AD 77 ED 013,597,201,2,800,0,0,0,2.35,25.37
NY,2024,Bronx County,AD 77 ED 014,523,151,4,678,0,0,0,1.91,22.52
NY,2024,Bronx County,AD 77 ED 015,52,22,0,74,0,0,0,7.69,45.45
NY,2024,Bronx County,AD 77 ED 016,109,21,1,131,0,0,0,0.92,19.05
NY,2024,Bronx County,AD 77 ED 017,388,100,1,489,0,0,0,7.73,36
NY,2024,Bronx County,AD 77 ED 018,391,118,5,514,0,0,0,8.95,29.66
NY,2024,Bronx County,AD 77 ED 019,442,106,1,549,0,0,0,6.33,15.09
NY,2024,Bronx County,AD 77 ED 020,154,60,1,215,0,0,0,3.9,20
NY,2024,Bronx County,AD 77 ED 021,372,145,3,520,0,0,0,-2.15,28.28
NY,2024,Bronx County,AD 77 ED 022,355,140,2,497,0,0,0,6.2,25.71
NY,2024,Bronx County,AD 77 ED 023,520,185,1,706,0,0,0,2.88,20.54
NY,2024,Bronx County,AD 77 ED 024,449,133,2,584,0,0,0,3.12,15.79
NY,2024,Bronx County,AD 77 ED 025,260,103,2,365,0,0,0,3.85,24.27
NY,2024,Bronx County,AD 77 ED 026,380,183,1,564,0,0,0,2.89,15.85
NY,2024,Bronx County,AD 77 ED 027,413,176,2,591,0,0,0,3.15,16.48
NY,2024,Bronx County,AD 77 ED 028,290,104,5,399,0,0,0,3.79,11.54
NY,2024,Bronx County,AD 77 ED 029,118,48,2,168,0,0,0,5.08,14.58
NY,2024,Bronx County,AD 77 ED 030,162,57,0,219,0,0,0,-2.47,33.33
NY,2024,Bronx County,AD 77 ED 031,369,134,3,506,0,0,0,1.08,17.16
NY,2024,Bronx County,AD 77 ED 032,403,146,5,554,0,0,0,1.99,16.44
NY,2024,Bronx County,AD 77 ED 033,185,71,2,258,0,0,0,0.54,11.27
NY,2024,Bronx County,AD 77 ED 034,179,97,1,277,0,0,0,-2.79,22.68
NY,2024,Bronx County,AD 77 ED 035,312,146,4,462,0,0,0,2.88,21.23
NY,2024,Bronx County,AD 77 ED 036,286,127,2,415,0,0,0,0,19.69
NY,2024,Bronx County,AD 77 ED 037,379,131,3,513,0,0,0,2.9,15.27
NY,2024,Bronx County,AD 77 ED 038,265,93,4,362,0,0,0,1.51,21.51
NY,2024,Bronx County,AD 77 ED 039,369,186,2,557,0,0,0,1.08,19.35
NY,2024,Bronx County,AD 77 ED 040,376,149,3,528,0,0,0,-3.19,25.5
NY,2024,Bronx County,AD 77 ED 041,441,181,5,627,0,0,0,-2.04,19.89
NY,2024,Bronx County,AD 77 ED 042,536,183,2,721,0,0,0,5.04,22.95
NY,2024,Bronx County,AD 77 ED 043,1,1,0,2,0,0,0,0,0
NY,2024,Bronx County,AD 77 ED 044,456,156,7,619,0,0,0,-4.82,29.49
NY,2024,Bronx County,AD 77 ED 045,56,16,0,72,0,0,0,-1.79,50
NY,2024,Bronx County,AD 77 ED 046,365,123,5,493,0,0,0,1.37,24.39
NY,2024,Bronx County,AD 77 ED 047,568,145,15,728,0,0,0,-0.53,25.52
NY,2024,Bronx County,AD 77 ED 048,159,62,4,225,0,0,0,-3.14,20.97
NY,2024,Bronx County,AD 77 ED 049,769,151,21,941,0,0,0,-0.26,10.6
NY,2024,Bronx County,AD 77 ED 050,400,110,2,512,0,0,0,3,27.27
NY,2024,Bronx County,AD 77 ED 051,324,106,8,438,0,0,0,0.93,13.21
NY,2024,Bronx County,AD 77 ED 052,524,179,7,710,0,0,0,1.15,24.58
NY,2024,Bronx County,AD 77 ED 053,433,162,7,602,0,0,0,1.39,17.9
NY,2024,Bronx County,AD 77 ED 054,237,125,2,364,0,0,0,1.27,12.8
NY,2024,Bronx County,AD 77 ED 055,137,72,0,209,0,0,0,-2.19,19.44
NY,2024,Bronx County,AD 77 ED 056,288,171,5,464,0,0,0,2.08,21.05
NY,2024,Bronx County,AD 78 ED 001,418,143,3,564,0,0,0,-0.24,29.37
NY,2024,Bronx County,AD 78 ED 002,534,141,4,679,0,0,0,-2.62,24.82
NY,2024,Bronx County,AD 78 ED 003,439,173,0,612,0,0,0,0.68,21.97
NY,2024,Bronx County,AD 78 ED 004,398,110,2,510,0,0,0,1.01,21.82
NY,2024,Bronx County,AD 78 ED 005,291,140,4,435,0,0,0,-1.72,14.29
NY,2024,Bronx County,AD 78 ED 006,295,130,5,430,0,0,0,-5.08,22.31
NY,2024,Bronx County,AD 78 ED 007,430,192,3,625,0,0,0,1.16,20.83
NY,2024,Bronx County,AD 78 ED 008,256,141,8,405,0,0,0,-4.3,15.6
NY,2024,Bronx County,AD 78 ED 009,254,112,10,376,0,0,0,-2.36,15.18
NY,2024,Bronx County,AD 78 ED 010,455,136,5,596,0,0,0,-0.22,19.12
NY,2024,Bronx County,AD 78 ED 011,253,68,6,327,0,0,0,1.98,10.29
NY,2024,Bronx County,AD 78 ED 012,274,141,6,421,0,0,0,-1.09,20.57
NY,2024,Bronx County,AD 78 ED 013,272,92,2,366,0,0,0,7.35,19.57
