state,electionYear,jurisdictionCode,jurisdictionName,level,vendor,systemName,equipmentType,usage,paperRecord,standardSystem,accessibleSystem,absenteeSystem,pollBookSystem,tabulation,registeredVoters,precincts,pollingPlaces,sourceGranularity,uniformityWarningRequired,uniformityNote,configurationSignals,sourceDocumentId,sourceUrl,caveat
OK,2024,OK-021,Cherokee County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",25208,29,29,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-023,Choctaw County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",7980,11,11,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-025,Cimarron County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",1257,6,6,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-027,Cleveland County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",157207,105,105,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-029,Coal County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",3465,9,9,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-031,Comanche County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",51828,40,40,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-033,Cotton County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",3398,7,7,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-035,Craig County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",7826,13,13,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-037,Creek County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",40876,35,35,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-039,Custer County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",13741,12,12,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
