state,election_year,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,comparison_rep,comparison_dem,comparison_other,source_jurisdictions,normalization_note
MO,2024,Lawrence County,29109,county:29109,14138,3625,460,Lawrence County,
MO,2024,Lewis County,29111,county:29111,3460,833,130,Lewis County,
MO,2024,Lincoln County,29113,county:29113,22811,8071,804,Lincoln County,
MO,2024,Linn County,29115,county:29115,4028,1424,168,Linn County,
MO,2024,Livingston County,29117,county:29117,5077,1598,108,Livingston County,
MO,2024,Macon County,29121,county:29121,6111,1529,119,Macon County,
MO,2024,Madison County,29123,county:29123,4465,1068,144,Madison County,
MO,2024,Maries County,29125,county:29125,3822,873,69,Maries County,
MO,2024,Marion County,29127,county:29127,9642,3032,318,Marion County,
MO,2024,McDonald County,29119,county:29119,7620,1428,196,McDonald County,
MO,2024,Mercer County,29129,county:29129,1475,273,29,Mercer County,
MO,2024,Miller County,29131,county:29131,10194,2366,286,Miller County,
MO,2024,Mississippi County,29133,county:29133,3263,942,146,Mississippi County,
MO,2024,Moniteau County,29135,county:29135,5469,1572,159,Moniteau County,
MO,2024,Monroe County,29137,county:29137,3256,962,91,Monroe County,
MO,2024,Montgomery County,29139,county:29139,4497,1329,116,Montgomery County,
MO,2024,Morgan County,29141,county:29141,7243,2138,227,Morgan County,
MO,2024,New Madrid County,29143,county:29143,5068,1433,185,New Madrid County,
MO,2024,Newton County,29145,county:29145,22381,5860,739,Newton County,
MO,2024,Nodaway County,29147,county:29147,6562,2849,207,Nodaway County,
MO,2024,Oregon County,29149,county:29149,3635,786,122,Oregon County,
MO,2024,Osage County,29151,county:29151,6337,1257,105,Osage County,
MO,2024,Ozark County,29153,county:29153,3802,791,107,Ozark County,
MO,2024,Pemiscot County,29155,county:29155,3735,1260,106,Pemiscot County,
MO,2024,Perry County,29157,county:29157,7619,1753,197,Perry County,
MO,2024,Pettis County,29159,county:29159,13134,5101,480,Pettis County,
MO,2024,Phelps County,29161,county:29161,13014,5662,481,Phelps County,
MO,2024,Pike County,29163,county:29163,5754,1856,133,Pike County,
MO,2024,Platte County,29165,county:29165,28061,28351,1343,Platte County,
MO,2024,Polk County,29167,county:29167,12204,3234,333,Polk County,
MO,2024,Pulaski County,29169,county:29169,10834,4022,483,Pulaski County,
MO,2024,Putnam County,29171,county:29171,1937,341,69,Putnam County,
MO,2024,Ralls County,29173,county:29173,4404,1181,124,Ralls County,
MO,2024,Randolph County,29175,county:29175,7700,2900,315,Randolph County,
MO,2024,Ray County,29177,county:29177,7791,3444,307,Ray County,
MO,2024,Reynolds County,29179,county:29179,2343,581,62,Reynolds County,
MO,2024,Ripley County,29181,county:29181,4739,779,162,Ripley County,
MO,2024,Saline County,29195,county:29195,5971,3038,274,Saline County,
MO,2024,Schuyler County,29197,county:29197,1513,327,57,Schuyler County,
MO,2024,Scotland County,29199,county:29199,1473,347,50,Scotland County,
MO,2024,Scott County,29201,county:29201,13488,3409,339,Scott County,
MO,2024,Shannon County,29203,county:29203,3088,736,117,Shannon County,
MO,2024,Shelby County,29205,county:29205,2535,616,61,Shelby County,
MO,2024,St. Charles County,29183,county:29183,121368,97175,5573,St. Charles County,
MO,2024,St. Clair County,29185,county:29185,3809,1071,91,St. Clair County,
MO,2024,St. Francois County,29187,county:29187,19573,7899,661,St. Francois County,
MO,2024,St. Louis City,29510,county:29510,18068,93919,3685,St. Louis City,
MO,2024,St. Louis County,29189,county:29189,179628,309428,13438,St. Louis County,
MO,2024,Ste. Genevieve County,29186,county:29186,6415,2982,196,Ste. Genevieve County,
MO,2024,Stoddard County,29207,county:29207,11451,1726,258,Stoddard County,
MO,2024,Stone County,29209,county:29209,14687,3948,319,Stone County,
MO,2024,Sullivan County,29211,county:29211,1957,425,42,Sullivan County,
MO,2024,Taney County,29213,county:29213,20221,5630,658,Taney County,
MO,2024,Texas County,29215,county:29215,9324,1884,240,Texas County,
MO,2024,Vernon County,29217,county:29217,6778,1835,228,Vernon County,
MO,2024,Warren County,29219,county:29219,13858,5579,439,Warren County,
MO,2024,Washington County,29221,county:29221,7648,2183,227,Washington County,
MO,2024,Wayne County,29223,county:29223,4783,840,138,Wayne County,
MO,2024,Webster County,29225,county:29225,15163,4074,457,Webster County,
MO,2024,Worth County,29227,county:29227,848,210,22,Worth County,
MO,2024,Wright County,29229,county:29229,7608,1197,139,Wright County,
