Office,Parish,Ward,Precinct,"Kamala D. Harris, Tim Walz Democratic (DEM)","Jill Stein, Ajamu Baraka Green (GRN)","Chase Oliver, Mike ter Maat Libertarian (LBT)","Donald J. Trump, ""JD"" Vance Republican (REP)","Peter Sonski, Lauren Onak American Solidarity Party (OTH)","Randall Terry, Stephen Broden Constitution Party (OTH)","Mattie Preston, Shannel Conner Godliness, Truth, Justice (OTH)","Cornel West, Melina Abdullah Justice For All (OTH)","Claudia de la Cruz, Karina Garcia Socialism and Liberation (OTH)","Rachele Fruit, Dennis Richter Socialist Workers Party (OTH)","Robert F. Kennedy, Jr., Nicole Shanahan We The People (OTH)"
"Presidential Electors","Allen","01","03","30","1","0","68","0","0","0","0","0","0","0"
"Presidential Electors","Allen","01","06","28","1","0","114","0","0","0","0","0","0","0"
"Presidential Electors","Allen","02","01","45","0","1","125","0","0","2","0","0","0","0"
"Presidential Electors","Allen","02","02","62","1","1","366","0","0","0","1","0","0","1"
"Presidential Electors","Allen","02","03","9","0","0","252","0","0","0","0","0","0","0"
"Presidential Electors","Allen","02","05","181","1","3","400","2","0","2","0","0","1","2"
"Presidential Electors","Allen","02","06","14","1","0","176","0","0","0","0","0","0","0"
"Presidential Electors","Allen","03","01","14","0","0","239","0","0","0","0","0","0","0"
"Presidential Electors","Allen","03","02","46","1","2","517","1","1","0","1","0","0","1"
"Presidential Electors","Allen","04","02","3","0","0","278","0","0","0","0","0","0","1"
"Presidential Electors","Allen","04","03","18","0","0","243","0","0","1","0","0","0","0"
"Presidential Electors","Allen","05","02","16","1","1","351","0","1","0","0","0","0","0"
"Presidential Electors","Allen","05","03","47","2","0","528","1","2","1","1","0","0","1"
"Presidential Electors","Allen","05","04","47","1","1","393","0","0","0","0","0","0","1"
"Presidential Electors","Allen","05","05","2","0","0","141","0","0","0","0","0","0","0"
"Presidential Electors","Allen","05","07","334","1","1","170","0","0","1","1","0","1","3"
"Presidential Electors","Allen","Early Voting","","621","2","4","2434","2","2","11","1","0","0","9"
"Presidential Electors","Allen","Provisional Votes","","0","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","Ascension","00","01 A","73","4","3","151","0","0","1","2","0","0","1"
"Presidential Electors","Ascension","00","01 B","31","1","3","144","0","0","1","2","0","0","0"
"Presidential Electors","Ascension","00","02","82","0","1","291","2","0","5","0","0","0","1"
"Presidential Electors","Ascension","00","03","113","5","4","371","1","0","2","1","0","1","3"
"Presidential Electors","Ascension","00","04","168","0","4","358","1","0","0","0","0","0","2"
"Presidential Electors","Ascension","00","05","150","2","1","442","0","0","2","1","0","0","0"
"Presidential Electors","Ascension","00","06","187","3","3","449","3","0","1","2","1","0","3"
"Presidential Electors","Ascension","00","07","154","3","3","252","7","0","0","0","0","0","2"
"Presidential Electors","Ascension","00","08 A","61","1","0","162","0","0","1","0","0","0","1"
"Presidential Electors","Ascension","00","08 B","78","1","3","168","0","0","0","2","0","0","2"
"Presidential Electors","Ascension","00","09","105","3","2","216","0","0","2","0","0","0","1"
"Presidential Electors","Ascension","00","10","51","0","1","208","0","0","0","0","0","0","1"
"Presidential Electors","Ascension","00","11 A","143","1","1","291","0","0","1","2","0","0","0"
"Presidential Electors","Ascension","00","11 B","124","3","2","280","0","0","0","0","0","0","2"
"Presidential Electors","Ascension","00","12","107","1","2","459","0","0","0","1","0","0","6"
"Presidential Electors","Ascension","00","13","154","2","4","484","2","0","1","1","0","0","5"
"Presidential Electors","Ascension","00","14","58","1","2","414","0","0","0","0","0","0","4"
"Presidential Electors","Ascension","00","15","59","4","4","484","0","0","1","0","0","0","1"
"Presidential Electors","Ascension","00","16","148","1","5","320","1","1","0","2","0","0","2"
"Presidential Electors","Ascension","00","17","303","5","5","354","1","0","0","1","1","0","3"
"Presidential Electors","Ascension","00","18","118","2","4","429","2","0","2","1","1","0","5"
"Presidential Electors","Ascension","00","19","115","1","2","227","0","0","0","0","1","0","2"
"Presidential Electors","Ascension","00","20","112","2","0","299","0","0","0","1","0","0","5"
"Presidential Electors","Ascension","00","21","41","3","0","197","0","0","0","0","1","0","1"
"Presidential Electors","Ascension","00","22","31","2","1","301","0","0","2","0","0","0","2"
"Presidential Electors","Ascension","00","23","88","0","0","154","0","1","1","1","0","0","0"
"Presidential Electors","Ascension","00","24","33","3","0","122","0","0","0","0","0","0","0"
"Presidential Electors","Ascension","00","25","63","0","2","368","1","0","0","1","0","0","3"
"Presidential Electors","Ascension","00","26 A","63","1","3","409","0","0","1","0","0","0","0"
"Presidential Electors","Ascension","00","26 B","54","3","7","379","0","0","0","0","0","0","2"
"Presidential Electors","Ascension","00","27","36","1","4","220","1","0","1","0","0","0","0"
"Presidential Electors","Ascension","00","28","161","0","2","123","1","2","0","0","0","0","1"
"Presidential Electors","Ascension","00","30","164","2","1","85","0","0","1","0","1","1","0"
"Presidential Electors","Ascension","00","31","185","1","1","169","2","0","0","0","0","0","0"
"Presidential Electors","Ascension","00","32","160","0","0","161","1","1","3","0","1","1","4"
"Presidential Electors","Ascension","00","33","77","2","4","486","0","0","2","0","0","1","2"
"Presidential Electors","Ascension","00","34","121","1","1","358","0","0","1","1","0","1","1"
"Presidential Electors","Ascension","00","35","50","2","0","491","0","0","1","0","0","0","1"
"Presidential Electors","Ascension","00","36","318","2","2","185","1","1","0","1","0","0","2"
"Presidential Electors","Ascension","00","37","494","3","3","170","1","2","2","4","0","0","5"
"Presidential Electors","Ascension","00","38","199","2","0","55","0","0","0","2","0","0","0"
"Presidential Electors","Ascension","00","39","81","0","1","86","0","0","0","0","0","0","0"
"Presidential Electors","Ascension","00","40","257","2","4","330","1","2","1","5","2","0","4"
"Presidential Electors","Ascension","00","41","49","0","3","320","0","0","0","0","0","0","0"
"Presidential Electors","Ascension","00","42","104","0","1","85","0","1","0","0","1","0","0"
"Presidential Electors","Ascension","00","43","49","5","3","344","0","1","1","0","0","0","2"
"Presidential Electors","Ascension","00","44","276","1","1","97","0","0","0","2","1","0","2"
"Presidential Electors","Ascension","00","45","95","1","0","15","0","1","1","0","1","0","0"
"Presidential Electors","Ascension","00","47","378","3","3","37","1","1","0","0","4","0","1"
"Presidential Electors","Ascension","00","48","61","2","1","103","0","0","0","0","0","0","3"
"Presidential Electors","Ascension","00","50","133","2","1","82","1","1","0","0","0","0","0"
"Presidential Electors","Ascension","00","51","243","4","2","18","0","2","1","2","2","0","2"
"Presidential Electors","Ascension","00","52","58","1","0","76","1","0","0","0","0","0","0"
"Presidential Electors","Ascension","00","53","86","0","0","133","0","0","2","0","0","0","0"
"Presidential Electors","Ascension","00","54","166","2","0","86","0","0","0","0","0","0","1"
"Presidential Electors","Ascension","00","55","185","0","0","28","1","0","0","1","0","0","1"
"Presidential Electors","Ascension","00","57","125","1","0","7","0","0","0","0","1","0","1"
"Presidential Electors","Ascension","00","58","135","2","1","220","0","1","1","2","0","0","2"
"Presidential Electors","Ascension","00","61","64","2","3","271","0","0","0","1","1","0","1"
"Presidential Electors","Ascension","00","62","55","1","1","203","0","1","0","0","0","0","2"
"Presidential Electors","Ascension","00","63","156","4","3","378","2","1","0","0","0","0","2"
"Presidential Electors","Ascension","00","64","84","1","3","216","0","1","1","0","0","0","3"
"Presidential Electors","Ascension","00","65","120","0","0","164","1","0","0","0","0","1","0"
"Presidential Electors","Ascension","00","66","114","1","1","292","0","1","2","1","0","0","0"
"Presidential Electors","Ascension","00","68","78","1","5","263","0","0","0","0","0","0","6"
"Presidential Electors","Ascension","00","69","45","0","1","317","0","1","1","0","0","0","4"
"Presidential Electors","Ascension","00","71","289","6","4","484","2","0","1","0","5","1","8"
"Presidential Electors","Ascension","00","72","131","0","0","271","1","0","0","0","0","0","0"
"Presidential Electors","Ascension","00","73","20","0","1","109","0","1","0","0","0","0","2"
"Presidential Electors","Ascension","00","76","145","0","5","486","1","1","2","0","0","0","1"
"Presidential Electors","Ascension","00","77","133","4","0","305","0","0","0","0","1","0","0"
"Presidential Electors","Ascension","00","78","90","4","3","305","4","0","1","0","0","0","4"
"Presidential Electors","Ascension","Early Voting","","11068","57","100","23493","40","20","66","35","7","2","126"
"Presidential Electors","Ascension","Provisional Votes","","8","0","0","9","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","01","01","213","1","0","28","1","0","0","1","0","0","0"
"Presidential Electors","Assumption","01","02","241","3","5","169","2","0","0","0","0","0","2"
"Presidential Electors","Assumption","01","03","6","0","0","30","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","02","01","26","1","0","239","0","0","0","1","0","0","0"
"Presidential Electors","Assumption","02","02","3","0","0","39","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","02","03","32","1","1","233","0","2","0","0","0","0","2"
"Presidential Electors","Assumption","02","04","26","1","0","154","0","0","1","0","0","0","0"
"Presidential Electors","Assumption","02","05","13","0","1","46","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","03","01","15","0","0","94","0","0","0","0","0","0","1"
"Presidential Electors","Assumption","03","02","36","0","0","509","0","0","1","0","1","0","1"
"Presidential Electors","Assumption","04","01","92","1","0","76","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","04","02","210","0","2","118","0","0","1","1","1","0","0"
"Presidential Electors","Assumption","04","03","55","0","2","85","0","0","1","1","0","0","0"
"Presidential Electors","Assumption","04","04","44","0","0","21","0","0","0","1","0","0","1"
"Presidential Electors","Assumption","05","01","112","3","1","27","2","0","0","1","0","0","1"
"Presidential Electors","Assumption","05","02","75","0","0","162","0","1","0","0","0","0","2"
"Presidential Electors","Assumption","05","03","17","0","0","120","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","05","05","0","0","0","10","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","06","01","71","1","0","81","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","06","01 A","73","1","0","76","0","0","0","1","0","0","1"
"Presidential Electors","Assumption","06","02","199","0","0","29","1","0","0","1","0","0","0"
"Presidential Electors","Assumption","06","03","100","0","0","15","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","07","01","62","2","0","174","0","1","0","0","0","0","0"
"Presidential Electors","Assumption","07","01 A","81","0","0","149","0","0","2","1","0","0","0"
"Presidential Electors","Assumption","07","02","11","1","0","131","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","07","03","14","0","2","203","0","0","0","0","0","0","1"
"Presidential Electors","Assumption","08","01","38","2","0","420","1","0","0","1","0","0","3"
"Presidential Electors","Assumption","08","01 A","19","2","1","329","1","0","0","0","0","0","0"
"Presidential Electors","Assumption","09","01","38","0","1","441","0","0","2","0","0","0","3"
"Presidential Electors","Assumption","09","01 A","27","1","0","390","0","0","0","0","0","0","0"
"Presidential Electors","Assumption","Early Voting","","1324","7","6","2365","3","1","11","8","0","1","7"
"Presidential Electors","Assumption","Provisional Votes","","0","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","01","01","26","0","1","451","2","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","01","02","20","1","0","397","0","0","0","1","0","0","0"
"Presidential Electors","Avoyelles","01","03","17","0","2","389","0","0","0","0","0","0","4"
"Presidential Electors","Avoyelles","02","01","101","0","0","237","0","0","1","0","0","0","0"
"Presidential Electors","Avoyelles","02","02","20","0","0","148","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","02","02A","91","1","0","74","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","02","02C","45","1","0","248","0","0","0","0","0","0","3"
"Presidential Electors","Avoyelles","02","04","185","2","2","199","1","0","0","1","0","0","3"
"Presidential Electors","Avoyelles","02","04A","90","0","4","185","0","0","0","1","0","0","1"
"Presidential Electors","Avoyelles","02","05","32","2","0","156","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","02","07","90","3","0","28","1","0","0","1","0","0","0"
"Presidential Electors","Avoyelles","02","08","117","2","0","27","0","0","0","1","0","0","1"
"Presidential Electors","Avoyelles","03","01","212","3","1","169","0","1","1","1","2","0","2"
"Presidential Electors","Avoyelles","03","01A","50","0","0","160","0","0","0","0","0","0","1"
"Presidential Electors","Avoyelles","03","03","71","1","1","70","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","04","01","40","0","0","189","1","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","04","02","61","1","2","516","0","0","0","0","0","0","1"
"Presidential Electors","Avoyelles","04","02A","32","1","0","351","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","05","01A","11","1","0","196","0","0","0","0","0","0","4"
"Presidential Electors","Avoyelles","06","01","35","1","1","268","0","0","0","0","0","1","0"
"Presidential Electors","Avoyelles","06","02","13","3","0","144","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","06","02A","9","0","1","140","0","1","0","0","0","0","1"
"Presidential Electors","Avoyelles","07","01","237","3","0","222","0","0","1","0","0","0","2"
"Presidential Electors","Avoyelles","07","02","21","0","0","222","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","07","03","2","0","0","11","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","08","01","5","0","0","89","0","0","1","0","0","0","1"
"Presidential Electors","Avoyelles","08","02","25","0","0","119","0","1","0","0","0","0","1"
"Presidential Electors","Avoyelles","08","03","15","1","0","322","1","2","1","1","0","0","1"
"Presidential Electors","Avoyelles","08","03A","29","0","1","456","0","0","0","0","0","0","2"
"Presidential Electors","Avoyelles","09","01","74","0","1","84","0","0","0","1","0","0","0"
"Presidential Electors","Avoyelles","09","02","25","0","0","59","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","09","02A","58","0","1","100","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","09","03","96","1","1","418","1","1","1","0","0","0","0"
"Presidential Electors","Avoyelles","09","05","231","0","4","62","1","0","1","1","1","0","1"
"Presidential Electors","Avoyelles","10","02","247","2","4","139","3","1","1","0","2","0","2"
"Presidential Electors","Avoyelles","10","02A","41","1","2","244","0","0","0","0","0","0","0"
"Presidential Electors","Avoyelles","10","03A","18","1","0","114","0","0","2","0","0","0","0"
"Presidential Electors","Avoyelles","10","03B","32","0","0","54","0","0","0","1","0","0","0"
"Presidential Electors","Avoyelles","10","04","281","3","0","48","0","0","0","0","0","0","1"
"Presidential Electors","Avoyelles","11","01","153","2","1","165","0","0","2","0","0","0","0"
"Presidential Electors","Avoyelles","11","02","16","0","0","118","0","0","0","0","0","0","1"
"Presidential Electors","Avoyelles","Early Voting","","1486","6","14","3590","1","1","8","2","0","1","19"
"Presidential Electors","Avoyelles","Provisional Votes","","0","0","0","1","0","0","0","0","0","0","0"
"Presidential Electors","Beauregard","00","01","8","1","1","105","0","0","0","0","0","0","1"
"Presidential Electors","Beauregard","00","01A","0","0","0","113","0","0","0","0","0","0","0"
"Presidential Electors","Beauregard","00","02","11","0","0","44","0","0","0","1","0","0","0"
"Presidential Electors","Beauregard","00","03","10","0","0","131","0","0","0","0","0","0","1"
"Presidential Electors","Beauregard","00","04","43","0","2","218","0","0","0","1","0","0","3"
"Presidential Electors","Beauregard","00","05","22","0","0","314","0","0","0","0","0","0","0"
"Presidential Electors","Beauregard","00","06","10","0","1","159","0","0","0","0","0","0","1"
"Presidential Electors","Beauregard","00","07","7","0","0","90","0","0","0","0","0","0","0"
"Presidential Electors","Beauregard","00","09","18","1","0","314","0","1","0","0","0","0","0"
"Presidential Electors","Beauregard","00","10","12","0","1","328","1","1","0","0","0","0","3"
"Presidential Electors","Beauregard","00","11","18","0","0","265","0","0","1","0","0","0","2"
"Presidential Electors","Beauregard","00","11B","10","0","1","225","0","0","1","0","0","0","0"
"Presidential Electors","Beauregard","00","12","41","0","2","688","0","0","1","0","0","0","0"
"Presidential Electors","Beauregard","00","12A","53","0","4","740","2","0","0","0","0","0","2"
"Presidential Electors","Beauregard","00","13","12","0","1","367","0","1","0","0","0","0","3"
"Presidential Electors","Beauregard","00","14","10","1","0","245","0","0","0","0","0","0","1"
"Presidential Electors","Beauregard","00","14A","11","0","1","171","0","0","0","0","0","0","1"
"Presidential Electors","Beauregard","00","15","13","0","0","173","0","0","0","0","0","0","1"
"Presidential Electors","Beauregard","00","16","28","0","3","234","0","0","0","1","0","0","1"
"Presidential Electors","Beauregard","00","16A","41","1","0","224","1","0","1","0","0","0","1"
"Presidential Electors","Beauregard","00","17","13","1","2","192","0","0","0","0","0","0","0"
"Presidential Electors","Beauregard","00","17A","6","0","0","153","0","0","0","0","0","0","0"
"Presidential Electors","Beauregard","00","18","8","0","0","69","0","0","0","0","0","0","0"
"Presidential Electors","Beauregard","00","18A","1","0","0","17","0","0","0","0","0","0","0"
"Presidential Electors","Beauregard","00","19","5","1","1","105","0","2","0","0","0","0","0"
"Presidential Electors","Beauregard","00","20","22","3","1","579","0","0","2","0","0","0","1"
"Presidential Electors","Beauregard","00","21","18","0","0","167","0","0","0","0","0","0","1"
"Presidential Electors","Beauregard","00","22","12","0","1","356","1","0","0","0","0","0","2"
"Presidential Electors","Beauregard","00","25","94","0","2","233","1","0","1","1","1","1","4"
"Presidential Electors","Beauregard","00","25B","47","1","3","63","0","0","1","0","0","0","0"
"Presidential Electors","Beauregard","00","26","99","0","0","62","0","0","2","0","0","1","2"
"Presidential Electors","Beauregard","00","27","7","0","0","86","0","1","0","2","0","0","1"
"Presidential Electors","Beauregard","00","27A","8","0","0","178","0","0","0","1","0","0","1"
"Presidential Electors","Beauregard","00","27B","33","0","2","85","0","2","0","0","0","0","0"
"Presidential Electors","Beauregard","00","28","124","0","0","25","0","0","0","0","0","0","0"
"Presidential Electors","Beauregard","00","28A","22","1","0","63","0","0","1","0","0","0","0"
"Presidential Electors","Beauregard","00","30","37","1","1","249","0","0","0","1","0","0","0"
"Presidential Electors","Beauregard","Early Voting","","1258","5","17","5674","9","6","10","2","0","0","18"
"Presidential Electors","Beauregard","Provisional Votes","","0","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","01","01","5","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","01","02","106","0","0","77","0","0","0","1","0","0","0"
"Presidential Electors","Bienville","01","03","20","0","0","44","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","01","04","5","0","0","27","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","01","05","6","0","0","9","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","01","06","54","0","0","91","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","01","07","0","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","02","01","142","2","1","11","2","0","0","1","1","0","0"
"Presidential Electors","Bienville","02","02","72","0","1","8","0","0","0","1","0","0","1"
"Presidential Electors","Bienville","02","03","0","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","02","04","54","0","0","45","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","02","05","12","0","0","9","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","03","01","141","0","0","26","0","0","0","0","0","0","1"
"Presidential Electors","Bienville","03","02","105","0","0","52","3","0","1","0","0","0","0"
"Presidential Electors","Bienville","03","03","52","0","0","60","1","0","0","0","1","0","0"
"Presidential Electors","Bienville","03","04","19","0","0","22","0","0","0","0","0","0","1"
"Presidential Electors","Bienville","03","05","9","1","0","19","0","1","0","0","0","0","0"
"Presidential Electors","Bienville","03","06","23","0","0","43","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","03","07","1","0","0","2","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","04","01","143","0","0","119","0","0","1","0","1","0","1"
"Presidential Electors","Bienville","04","02","1","0","0","47","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","04","03","51","0","1","267","0","0","1","0","0","0","0"
"Presidential Electors","Bienville","05","01","131","2","1","121","0","0","1","1","2","0","0"
"Presidential Electors","Bienville","05","02","48","1","0","204","0","0","1","0","0","0","0"
"Presidential Electors","Bienville","05","03","9","0","0","101","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","05","04","1","0","0","15","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","06","01","2","0","0","65","0","2","0","0","0","0","0"
"Presidential Electors","Bienville","06","02","4","0","0","171","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","06","03","60","0","0","235","1","0","0","1","0","2","0"
"Presidential Electors","Bienville","06","04","11","0","0","164","0","0","0","0","0","0","1"
"Presidential Electors","Bienville","06","05","1","0","0","75","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","07","01","58","0","0","62","0","0","1","0","0","0","1"
"Presidential Electors","Bienville","07","02","53","1","1","62","0","0","0","1","0","0","1"
"Presidential Electors","Bienville","07","03","17","1","0","149","0","0","0","0","0","0","0"
"Presidential Electors","Bienville","07","04","148","0","2","154","0","0","0","1","1","0","0"
"Presidential Electors","Bienville","Early Voting","","967","2","3","1103","0","0","2","2","0","0","3"
"Presidential Electors","Bienville","Provisional Votes","","0","0","0","1","0","0","0","0","0","0","0"
"Presidential Electors","Bossier","01","01","105","4","2","189","1","0","0","0","0","0","1"
"Presidential Electors","Bossier","01","02","126","4","2","227","0","0","0","0","0","0","2"
"Presidential Electors","Bossier","01","03","124","4","2","205","0","0","0","0","0","0","1"
"Presidential Electors","Bossier","01","03A","134","2","1","250","0","0","0","0","0","0","3"
"Presidential Electors","Bossier","01","03B","72","1","0","132","1","0","0","1","0","0","1"
"Presidential Electors","Bossier","01","04","200","0","2","349","2","0","0","2","0","0","3"
"Presidential Electors","Bossier","01","05","82","0","2","151","1","1","0","0","0","1","1"
"Presidential Electors","Bossier","02","01","147","0","2","101","0","0","1","0","1","0","2"
"Presidential Electors","Bossier","02","01A","37","0","1","136","2","0","3","0","0","0","1"
"Presidential Electors","Bossier","02","02","64","3","2","262","1","0","0","0","0","0","0"
"Presidential Electors","Bossier","02","03","78","0","2","114","0","0","0","0","0","0","1"
"Presidential Electors","Bossier","02","03A","163","2","1","116","0","0","0","0","0","0","0"
"Presidential Electors","Bossier","02","04 -1","54","1","2","149","3","0","1","0","0","0","0"
"Presidential Electors","Bossier","02","04 -2","51","1","3","140","0","0","1","0","0","0","0"
"Presidential Electors","Bossier","02","05A","62","0","0","44","0","0","1","0","1","0","1"
"Presidential Electors","Bossier","02","06","81","1","0","27","0","1","2","1","0","0","1"
"Presidential Electors","Bossier","02","07","108","2","0","148","1","0","0","0","0","0","3"
"Presidential Electors","Bossier","02","08","126","2","0","13","0","0","2","0","0","0","0"
"Presidential Electors","Bossier","02","09","154","2","1","130","0","0","1","1","0","0","1"
"Presidential Electors","Bossier","02","10","52","1","0","122","0","0","0","0","0","0","1"
"Presidential Electors","Bossier","02","11","104","0","1","82","0","0","0","1","0","0","0"
"Presidential Electors","Bossier","02","12A","233","4","3","115","0","0","0","1","0","0","2"
"Presidential Electors","Bossier","02","12B","70","1","2","43","0","1","0","0","0","0","1"
"Presidential Electors","Bossier","02","13","138","2","0","94","0","0","1","1","0","0","0"
"Presidential Electors","Bossier","02","14","96","1","0","93","0","0","0","0","0","0","0"
