"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Ray Bly","REP","Representative in Congress","07","","Y","8","","0","","0","","0","","0","","8",""
"Charles U. Smith","DEM","Representative in Congress","07","","Y","2","","0","","0","","0","","0","","2",""
"Other Write-Ins","BOT","Representative in Congress","07","","Y","64","","20","","117","","2","","41","","244",""
"Quincy L. Coleman","BOT","Judge of the Circuit Court","05","Y","","25108","","6590","","30773","","2198","","17301","","81970",""
"John J. Kuchno","BOT","Judge of the Circuit Court","05","","","26772","","8617","","22778","","1574","","12314","","72055",""
"Other Write-Ins","BOT","Judge of the Circuit Court","05","","Y","233","","94","","120","","18","","91","","556",""
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","41158","9548","11557","3365","46441","5923","2924","775","24901","3549","126981","23160"
"Kathryn Grill Graeff","BOT","Judge Special Appeals","03","Y","","40371","10053","11270","3530","46550","5859","2900","750","24008","4366","125099","24558"
"Christina Delmont-Small","NON","Board of Education","001","Y","","7231","","2171","","6755","","507","","3598","","20262",""
"Matthew D. Molyett","NON","Board of Education","001","","","3360","","878","","4381","","254","","2434","","11307",""
"Other Write-Ins","NON","Board of Education","001","","Y","62","","36","","30","","4","","30","","162",""
"Larry Pretlow, II","NON","Board of Education","002","","","3381","","1014","","2239","","220","","1413","","8267",""
"Antonia Barkley Watts","NON","Board of Education","002","Y","","7132","","1521","","8172","","573","","4570","","21968",""
"Other Write-Ins","NON","Board of Education","002","","Y","100","","45","","37","","8","","28","","218",""
"Tom Heffner","NON","Board of Education","003","","","2315","","916","","1579","","208","","917","","5935",""
"Jolene Mosley","NON","Board of Education","003","Y","","6951","","1901","","7874","","584","","4705","","22015",""
"Other Write-Ins","NON","Board of Education","003","","Y","105","","37","","30","","7","","45","","224",""
"Jen Mallo","NON","Board of Education","004","Y","","4650","","901","","7554","","305","","3337","","16747",""
"Sezin Palmer","NON","Board of Education","004","","","5381","","1500","","5138","","369","","2977","","15365",""
"Julie Hotopp","NON","Board of Education","004","","Y","90","","23","","18","","0","","0","","131",""
"Other Write-Ins","NON","Board of Education","004","","Y","8","","9","","96","","10","","96","","219",""
"Yun Lu","NON","Board of Education","005","Y","","8153","","3275","","6996","","457","","3990","","22871",""
"Cindy Vaillancourt","NON","Board of Education","005","","","4235","","1425","","4231","","190","","2240","","12321",""
"Other Write-Ins","NON","Board of Education","005","","Y","57","","20","","39","","4","","22","","142",""
