,,Donald J. Trump and Michael R. Pence,Hillary Rodham Clinton and Timothy Michael Kaine,Gary Johnson and Bill Weld,Evan McMullin and Nathan Johnson,Jill Stein and Ajamu Baraka,Darrell Castle and Scott Bradley,Peter Skewes and Michael Lacy,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Independence,Green,Constitution,American,,,
Precinct,Moncks Corner 02,392,312,12,6,4,1,3,730,6,736
Precinct,Moncks Corner 03,453,437,24,18,5,3,1,941,4,945
Precinct,Moncks Corner 04,749,221,17,11,8,2,2,1010,7,1017
Precinct,Moultrie,128,516,8,4,2,1,0,659,9,668
Precinct,Old 52,223,129,9,5,0,3,1,370,4,374
Precinct,Pimlico,1043,422,73,16,4,4,5,1567,7,1574
Precinct,Pinopolis,727,150,10,6,2,4,0,899,9,908
Precinct,Provisional,59,44,1,0,2,0,1,107,0,107
Precinct,Provisional 2,14,15,1,0,0,0,0,30,0,30
Precinct,Royle,416,224,18,12,3,4,3,680,3,683
Precinct,Russellville,98,464,3,3,3,1,1,573,9,582
Precinct,Sangaree 01,326,171,16,8,7,3,4,535,4,539
Precinct,Sangaree 02,473,268,22,5,8,1,2,779,7,786
Precinct,Sangaree 03,427,227,27,3,7,1,0,692,2,694
Precinct,Sedgefield 01,404,314,19,7,5,2,0,751,11,762
Precinct,Sedgefield 02,251,183,25,8,8,1,0,476,7,483
Precinct,Shulerville,128,98,5,0,2,0,0,233,5,238
Precinct,St. James,425,302,30,13,4,0,2,776,5,781
Precinct,St. Stephen 01,105,554,8,3,1,2,1,674,9,683
Precinct,St. Stephen 02,333,323,9,8,1,0,1,675,5,680
Precinct,Stone Lake,508,210,27,12,1,1,0,759,1,760
Precinct,Stratford 01,364,288,23,11,6,2,2,696,6,702
Precinct,Stratford 02,656,226,35,9,4,0,0,930,7,937
Precinct,Stratford 03,539,339,36,13,7,2,0,936,4,940
Precinct,Stratford 04,498,300,31,10,11,5,3,858,5,863
Precinct,Stratford 05,305,295,25,10,8,5,1,649,1,650
Precinct,The Village,822,327,59,19,2,7,1,1237,8,1245
Precinct,Tramway,557,310,36,15,8,2,1,929,4,933
Precinct,Wassamassaw 01,171,192,8,1,4,0,0,376,2,378
Precinct,Wassamassaw 02,807,393,40,14,5,4,2,1265,14,1279
Precinct,Weatherstone,424,317,36,9,13,4,1,804,7,811
Precinct,Westview 01,568,194,32,8,3,6,1,812,7,819
Precinct,Westview 02,614,308,56,5,3,4,0,990,4,994
Precinct,Westview 03,548,206,25,8,16,8,1,812,5,817
Precinct,Westview 04,510,237,31,16,9,1,1,805,5,810
Precinct,Whitesville 01,621,441,44,11,5,1,1,1124,5,1129
Precinct,Whitesville 02,513,156,11,9,1,2,1,693,4,697
Precinct,Yellow House,455,364,32,13,4,3,1,872,6,878
County,Calhoun,3787,3573,105,39,24,15,6,7549,82,7631
Precinct,Absentee,627,1122,18,5,1,3,1,1777,20,1797
Precinct,Bethel,378,128,9,1,3,1,0,520,5,525
Precinct,Cameron,202,190,11,7,3,2,1,416,4,420
Precinct,Center Hill,281,306,12,2,4,0,1,606,6,612
Precinct,Creston,78,46,1,1,0,2,0,128,1,129
Precinct,Dixie,219,639,12,6,0,3,0,879,6,885
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe,28,25,1,0,0,0,1,55,0,55
Precinct,Failsafe Provisional,2,1,0,0,0,0,0,3,0,3
Precinct,Fall Branch,172,121,2,1,4,0,0,300,2,302
Precinct,Fort Motte,74,84,3,0,0,0,0,161,4,165
Precinct,Lone Star,299,219,4,4,0,0,0,526,6,532
Precinct,Midway,157,46,1,0,0,1,1,206,4,210
Precinct,Murph Mill,110,117,3,1,0,2,0,233,4,237
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Sandy Run,734,228,13,8,5,1,1,990,10,1000
Precinct,St. Matthews,426,301,15,3,4,0,0,749,10,759
County,Charleston,75443,89299,7283,1985,1681,428,226,176345,1904,178249
Precinct,Absentee,26384,30328,1427,489,297,125,54,59104,703,59807
Precinct,Awendaw,261,325,8,3,4,1,1,603,7,610
Precinct,Charleston 01,257,150,28,6,1,0,0,442,7,449
Precinct,Charleston 02,236,194,26,10,3,0,1,470,7,477
Precinct,Charleston 03,209,267,40,7,8,0,0,531,13,544
Precinct,Charleston 04,149,251,34,10,8,0,0,452,4,456
Precinct,Charleston 05,157,242,29,4,3,1,1,437,3,440
Precinct,Charleston 06,165,294,30,6,11,3,0,509,4,513
Precinct,Charleston 07,189,341,35,6,16,1,1,589,7,596
Precinct,Charleston 08,34,427,22,5,11,1,1,501,4,505
Precinct,Charleston 09,75,296,19,5,6,1,2,404,6,410
Precinct,Charleston 10,42,213,16,1,12,0,0,284,3,287
Precinct,Charleston 11,157,382,47,17,7,3,1,614,7,621
Precinct,Charleston 12,108,454,28,8,8,0,1,607,5,612
Precinct,Charleston 13,62,430,33,5,4,2,0,536,8,544
Precinct,Charleston 14,78,345,23,7,10,0,0,463,1,464
Precinct,Charleston 15,19,490,9,4,7,0,1,530,3,533
Precinct,Charleston 16,60,442,27,6,12,1,0,548,9,557
Precinct,Charleston 17,67,359,37,10,6,0,0,479,4,483
Precinct,Charleston 18,43,568,11,8,14,1,0,645,5,650
Precinct,Charleston 19,48,348,15,4,7,2,1,425,9,434
Precinct,Charleston 20,144,456,41,15,9,1,1,667,4,671
Precinct,Charleston 21,33,273,11,1,2,1,0,321,2,323
Precinct,Christ Church,181,229,11,2,3,1,1,428,3,431
Precinct,Deer Park 01a,170,308,21,6,11,6,1,523,2,525
Precinct,Deer Park 01b,444,473,56,7,14,4,2,1000,8,1008
Precinct,Deer Park 02a,514,552,34,9,8,3,2,1122,1,1123
Precinct,Deer Park 02b,321,381,30,8,8,2,0,750,3,753
Precinct,Deer Park 02c,225,198,16,4,3,1,1,448,2,450
Precinct,Deer Park 03,285,479,32,12,8,2,2,820,6,826
Precinct,Edisto Island,368,360,19,9,2,2,2,762,7,769
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe,95,251,5,5,0,0,0,356,0,356
Precinct,Failsafe Provisional,122,157,17,2,3,1,1,303,2,305
Precinct,Folly Beach 01,265,238,29,2,14,0,2,550,6,556
Precinct,Folly Beach 02,334,301,43,5,5,3,1,692,7,699
Precinct,Isle Of Palms 01a,323,190,32,7,11,2,0,565,6,571
Precinct,Isle of Palms 01b,449,240,47,10,4,2,0,752,11,763
Precinct,Isle of Palms 01c,432,219,38,4,3,2,0,698,11,709
Precinct,James Island 01a,384,473,62,6,12,5,3,945,8,953
Precinct,James Island 01b,51,262,9,2,3,3,0,330,6,336
Precinct,James Island 03,48,312,7,1,8,0,0,376,6,382
Precinct,James Island 05a,312,240,48,14,9,2,0,625,7,632
Precinct,James Island 05b,197,104,20,1,4,0,1,327,6,333
Precinct,James Island 06,313,355,37,4,9,2,0,720,4,724
Precinct,James Island 07,376,393,56,10,13,0,1,849,7,856
Precinct,James Island 08a,180,298,24,10,4,1,0,517,5,522
Precinct,James Island 08b,371,432,64,8,10,3,0,888,8,896
Precinct,James Island 09,331,341,48,10,14,1,2,747,6,753
Precinct,James Island 10,322,325,52,8,14,0,3,724,8,732
Precinct,James Island 11,402,325,63,14,8,1,1,814,11,825
Precinct,James Island 12,296,214,46,7,6,4,0,573,8,581
Precinct,James Island 13,299,281,38,5,7,2,2,634,6,640
Precinct,James Island 14,271,196,27,6,7,0,0,507,4,511
Precinct,James Island 15,378,369,56,8,17,1,0,829,5,834
Precinct,James Island 17,307,404,66,12,13,1,0,803,11,814
Precinct,James Island 19,301,363,60,7,10,0,1,742,4,746
Precinct,James Island 20,297,360,43,10,18,3,1,732,5,737
Precinct,James Island 22,271,360,54,12,14,2,0,713,5,718
Precinct,Johns Island 01a,443,236,13,8,9,2,2,713,7,720
Precinct,Johns Island 01b,249,385,22,5,10,0,0,671,8,679
Precinct,Johns Island 02,845,718,117,22,17,7,1,1727,8,1735
Precinct,Johns Island 03a,672,481,75,14,21,3,1,1267,11,1278
Precinct,Johns Island 03b,359,392,17,7,4,6,1,786,2,788
Precinct,Johns Island 04,201,255,16,10,5,3,2,492,3,495
Precinct,Kiawah Island,531,281,49,11,6,1,0,879,37,916
Precinct,Ladson,429,632,29,18,13,4,4,1129,3,1132
Precinct,Lincolnville,331,387,22,8,8,6,3,765,9,774
Precinct,Mcclellanville,231,555,24,7,5,1,1,824,11,835
Precinct,Mt. Pleasant 01,353,328,47,4,7,0,0,739,4,743
Precinct,Mt. Pleasant 02,192,164,39,8,4,1,0,408,5,413
Precinct,Mt. Pleasant 03,307,289,48,9,10,0,1,664,13,677
Precinct,Mt. Pleasant 04,343,301,49,10,4,0,1,708,6,714
Precinct,Mt. Pleasant 05,338,212,47,7,5,1,2,612,7,619
Precinct,Mt. Pleasant 06,449,325,48,19,17,0,1,859,3,862
Precinct,Mt. Pleasant 07,204,160,30,2,4,0,1,401,3,404
Precinct,Mt. Pleasant 08,206,173,25,6,3,0,0,413,4,417
Precinct,Mt. Pleasant 09,270,149,26,6,5,1,1,458,5,463
Precinct,Mt. Pleasant 10,258,143,27,6,5,0,0,439,5,444
Precinct,Mt. Pleasant 11,255,203,33,9,6,0,1,507,4,511
Precinct,Mt. Pleasant 12,459,350,40,12,8,6,2,877,3,880
Precinct,Mt. Pleasant 13,259,206,40,4,11,0,1,521,12,533
Precinct,Mt. Pleasant 14,315,275,44,15,10,4,0,663,7,670
Precinct,Mt. Pleasant 15,485,435,48,15,9,2,1,995,18,1013
Precinct,Mt. Pleasant 16,185,109,27,5,3,0,1,330,3,333
Precinct,Mt. Pleasant 17,646,374,87,10,10,1,1,1129,12,1141
Precinct,Mt. Pleasant 18,352,183,44,14,6,2,0,601,8,609
Precinct,Mt. Pleasant 19,386,336,47,18,13,1,3,804,5,809
Precinct,Mt. Pleasant 20,312,299,25,12,9,2,1,660,8,668
Precinct,Mt. Pleasant 21,284,217,33,10,7,1,1,553,10,563
Precinct,Mt. Pleasant 22,240,225,26,11,1,3,1,507,2,509
Precinct,Mt. Pleasant 23,315,365,46,11,7,4,2,750,4,754
Precinct,Mt. Pleasant 24,179,141,25,3,7,0,1,356,2,358
Precinct,Mt. Pleasant 25,210,111,23,7,2,1,0,354,6,360
Precinct,Mt. Pleasant 26,9,212,1,2,0,0,0,224,2,226
Precinct,Mt. Pleasant 27,659,397,74,20,12,4,2,1168,17,1185
Precinct,Mt. Pleasant 28,323,193,47,13,9,3,0,588,7,595
Precinct,Mt. Pleasant 29,80,50,7,2,0,2,0,141,5,146
Precinct,Mt. Pleasant 30,656,401,59,19,7,2,3,1147,16,1163
Precinct,Mt. Pleasant 31,297,224,16,9,1,0,0,547,5,552
Precinct,Mt. Pleasant 32,685,350,49,23,6,0,1,1114,5,1119
Precinct,Mt. Pleasant 33,1062,469,73,28,3,3,4,1642,19,1661
Precinct,Mt. Pleasant 34,362,215,30,5,7,2,0,621,3,624
Precinct,Mt. Pleasant 35,1112,609,85,29,26,4,3,1868,19,1887
Precinct,Mt. Pleasant 36,405,319,47,19,10,3,2,805,7,812
Precinct,Mt. Pleasant 37,692,705,61,21,14,1,0,1494,8,1502
Precinct,Mt. Pleasant 38,418,179,32,13,6,1,0,649,6,655
Precinct,Mt. Pleasant 39,663,333,40,13,5,1,0,1055,7,1062
Precinct,North Charleston 01,13,344,1,4,2,0,1,365,11,376
Precinct,North Charleston 02,8,147,2,0,1,0,0,158,1,159
Precinct,North Charleston 03,316,216,23,6,6,0,1,568,8,576
Precinct,North Charleston 04,47,371,6,0,3,2,1,430,2,432
Precinct,North Charleston 05,37,629,6,0,5,1,2,680,2,682
Precinct,North Charleston 06,20,511,3,3,3,4,3,547,10,557
Precinct,North Charleston 07,41,513,4,0,3,1,0,562,6,568
Precinct,North Charleston 08,133,193,30,3,9,0,1,369,3,372
Precinct,North Charleston 09,213,382,41,5,11,2,1,655,4,659
Precinct,North Charleston 10,108,449,12,7,3,2,1,582,10,592
Precinct,North Charleston 11,213,202,30,11,9,1,0,466,4,470
Precinct,North Charleston 12,149,202,39,18,6,3,1,418,5,423
Precinct,North Charleston 13,39,352,0,4,3,3,1,402,0,402
Precinct,North Charleston 14,79,194,14,1,10,2,0,300,1,301
Precinct,North Charleston 15,66,398,14,0,8,3,0,489,2,491
Precinct,North Charleston 16,68,297,7,0,6,1,0,379,7,386
Precinct,North Charleston 17,24,253,2,0,2,0,2,283,23,306
Precinct,North Charleston 18,118,522,17,2,10,3,0,672,8,680
Precinct,North Charleston 19,64,327,3,3,3,2,1,403,2,405
Precinct,North Charleston 20,138,145,6,0,5,1,0,295,5,300
Precinct,North Charleston 21,133,341,17,2,10,0,0,503,7,510
Precinct,North Charleston 22,142,415,13,6,9,2,0,587,5,592
Precinct,North Charleston 23,283,427,28,4,5,1,0,748,3,751
Precinct,North Charleston 24,230,640,24,5,22,1,1,923,9,932
Precinct,North Charleston 25,32,251,2,0,5,1,3,294,6,300
Precinct,North Charleston 26,29,183,2,0,1,1,0,216,2,218
Precinct,North Charleston 27,106,307,7,2,2,1,1,426,5,431
Precinct,North Charleston 28,49,214,7,1,1,3,0,275,2,277
Precinct,North Charleston 29,111,224,6,2,2,0,0,345,7,352
Precinct,North Charleston 30,193,568,16,3,15,1,5,801,9,810
Precinct,Provisional,81,79,3,2,5,0,0,170,3,173
Precinct,St. Andrews 01,89,155,10,5,5,2,1,267,4,271
Precinct,St. Andrews 02,148,335,48,9,10,0,0,550,3,553
Precinct,St. Andrews 03,91,465,22,4,6,1,2,591,3,594
Precinct,St. Andrews 04,308,273,41,11,8,2,0,643,7,650
Precinct,St. Andrews 05,219,290,29,6,14,0,1,559,5,564
Precinct,St. Andrews 06,362,212,46,8,5,1,1,635,7,642
Precinct,St. Andrews 07,390,317,51,17,9,3,2,789,12,801
Precinct,St. Andrews 08,41,253,13,4,9,0,0,320,0,320
Precinct,St. Andrews 09,34,419,10,1,5,1,0,470,4,474
Precinct,St. Andrews 10,181,275,26,9,8,2,1,502,12,514
Precinct,St. Andrews 11,223,164,27,8,6,1,1,430,5,435
Precinct,St. Andrews 12,219,193,44,14,5,2,1,478,8,486
Precinct,St. Andrews 13,228,233,31,12,9,0,1,514,4,518
Precinct,St. Andrews 14,289,301,41,13,14,2,1,661,5,666
Precinct,St. Andrews 15,83,316,20,4,2,2,1,428,3,431
Precinct,St. Andrews 16,248,167,35,10,10,0,2,472,5,477
Precinct,St. Andrews 17,389,287,46,13,13,2,0,750,14,764
Precinct,St. Andrews 18,196,478,27,5,9,2,1,718,4,722
Precinct,St. Andrews 19,12,97,3,1,4,1,0,118,1,119
Precinct,St. Andrews 20,328,554,44,22,26,5,1,980,5,985
Precinct,St. Andrews 21,150,178,24,7,6,3,0,368,6,374
Precinct,St. Andrews 22,202,182,27,3,7,1,0,422,2,424
Precinct,St. Andrews 23,162,214,26,6,11,4,1,424,2,426
Precinct,St. Andrews 24,131,296,21,7,6,1,0,462,2,464
Precinct,St. Andrews 25,152,269,37,8,8,3,1,478,2,480
Precinct,St. Andrews 26,212,269,39,7,6,1,1,535,5,540
Precinct,St. Andrews 27,662,737,89,27,14,5,6,1540,10,1550
Precinct,St. Andrews 28,468,458,61,8,3,5,0,1003,6,1009
Precinct,St. Andrews 29,615,575,94,17,16,6,5,1328,10,1338
Precinct,St. Andrews 30,288,334,50,11,15,6,2,706,4,710
Precinct,St. Andrews 31,241,217,29,14,6,2,0,509,4,513
Precinct,St. Andrews 32,317,192,30,9,6,1,0,555,8,563
Precinct,St. Andrews 33,180,112,15,0,3,0,0,310,3,313
Precinct,St. Andrews 34,505,303,51,14,13,1,2,889,11,900
Precinct,St. Andrews 35,428,261,41,12,8,1,0,751,6,757
Precinct,St. Andrews 36,469,277,48,16,7,3,2,822,3,825
Precinct,St. Andrews 37,776,594,86,33,14,0,4,1507,10,1517
Precinct,St. Pauls 01,115,383,9,4,0,0,1,512,5,517
Precinct,St. Pauls 02a,157,260,3,2,0,0,1,423,4,427
Precinct,St. Pauls 02b,230,378,12,4,2,3,1,630,9,639
Precinct,St. Pauls 03,595,281,25,4,5,3,1,914,8,922
Precinct,St. Pauls 04,168,546,9,3,3,3,2,734,10,744
Precinct,St. Pauls 05,218,224,9,1,4,2,0,458,4,462
Precinct,St. Pauls 06,451,263,16,11,3,0,1,745,8,753
Precinct,Sullivans Island,414,420,64,11,3,1,0,913,18,931
Precinct,Town of Seabrook Island,637,467,57,18,3,3,1,1186,28,1214
Precinct,Wadmalaw Island 01,240,272,16,9,4,1,1,543,11,554
Precinct,Wadmalaw Island 02,171,348,11,6,3,3,1,543,8,551
County,Cherokee,15167,6092,242,96,80,52,30,21759,133,21892
Precinct,99 and Cherokee Falls,445,45,3,3,0,0,0,496,5,501
Precinct,Absentee,2672,1491,33,11,11,8,6,4232,24,4256
Precinct,Allens,505,51,4,1,5,1,2,569,4,573
Precinct,Alma Mill,343,404,4,4,5,1,3,764,9,773
Precinct,Antioch and Kings Creek,621,77,10,6,2,2,3,721,8,729
Precinct,Ashworth,582,60,6,3,6,0,1,658,2,660
Precinct,Blacksburg Ward No. 01,365,129,6,1,0,1,0,502,4,506
Precinct,Blacksburg Ward No. 02,584,120,20,1,2,3,3,733,3,736
Precinct,Draytonville,630,168,9,3,2,2,2,816,0,816
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Ezells and Butler,655,122,6,7,4,4,0,798,5,803
Precinct,Failsafe,88,65,1,1,0,1,0,156,1,157
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Gaffney Ward No. 01,94,231,4,0,0,0,1,330,3,333
Precinct,Gaffney Ward No. 02,102,406,5,4,3,0,0,520,4,524
Precinct,Gaffney Ward No. 03,71,370,8,2,1,0,0,452,2,454
Precinct,Gaffney Ward No. 04,306,331,10,6,5,1,0,659,4,663
Precinct,Gaffney Ward No. 05,319,193,9,4,3,1,1,530,8,538
Precinct,Gaffney Ward No. 06,431,150,8,2,2,4,1,598,2,600
Precinct,Goucher and Thicketty,552,83,5,2,2,5,1,650,3,653
Precinct,Grassy Pond,918,223,17,4,8,0,0,1170,8,1178
Precinct,Holly Grove-Buffalo,581,69,14,6,7,1,0,678,5,683
Precinct,Limestone Mill,185,163,4,0,1,0,0,353,1,354
Precinct,Littlejohns and Sarratt,204,22,1,0,0,2,1,230,0,230
Precinct,Macedonia,628,126,9,1,2,0,0,766,8,774
Precinct,Morgan,585,75,6,3,4,0,0,673,2,675
Precinct,Musgrove Mill,473,172,5,6,2,4,1,663,2,665
Precinct,Pleasant Grove,251,230,4,5,0,0,0,490,0,490
Precinct,Pleasant Meadows,98,244,0,3,1,0,1,347,3,350
Precinct,Provisional,2,3,0,0,0,0,0,5,0,5
Precinct,Timber Ridge,468,55,9,3,1,0,0,536,3,539
Precinct,White Plains,592,126,9,0,0,1,1,729,8,737
Precinct,Wilkinsville and Metcalf,310,14,4,2,0,2,2,334,1,335
Precinct,Woods,507,74,9,2,1,8,0,601,1,602
County,Chester,7265,6579,175,64,50,30,29,14192,119,14311
Precinct,Absentee,1827,2426,41,22,7,10,10,4343,43,4386
Precinct,Baldwin Mill,176,257,5,0,0,0,0,438,2,440
Precinct,Baton Rouge,282,68,5,5,0,0,0,360,5,365
Precinct,Beckhamville,291,268,7,2,1,2,2,573,5,578
Precinct,Blackstock,192,120,6,3,3,0,1,325,6,331
Precinct,Chester Ward 01,164,357,9,1,4,1,2,538,6,544
Precinct,Chester Ward 02,64,268,4,0,1,1,0,338,1,339
Precinct,Chester Ward 03,206,247,8,2,2,1,1,467,3,470
Precinct,Chester Ward 04,101,281,10,1,0,0,0,393,5,398
Precinct,Chester Ward 05,181,113,0,1,3,2,0,300,1,301
Precinct,Edgemoor,450,163,13,3,2,3,2,636,5,641
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Eureka Mill,231,357,9,0,4,0,2,603,4,607
Precinct,Failsafe,1,0,0,0,0,0,0,1,0,1
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Fort Lawn,496,300,9,5,2,1,0,813,6,819
Precinct,Great Falls,297,249,3,1,2,2,3,557,4,561
Precinct,Halsellville,69,71,0,0,2,0,0,142,1,143
Precinct,Hazelwood,291,100,7,3,1,1,0,403,4,407
Precinct,Lando/Landsford,387,149,9,3,2,0,1,551,4,555
Precinct,Lowrys,395,125,8,1,6,0,0,535,1,536
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Richburg,464,262,12,6,3,3,3,753,5,758
Precinct,Rodman,396,169,7,5,4,3,1,585,3,588
Precinct,Rossville,171,76,2,0,0,0,1,250,2,252
Precinct,Wilksburg,133,153,1,0,1,0,0,288,3,291
County,Chesterfield,9312,6858,185,95,47,60,24,16581,182,16763
Precinct,Absentee,1433,1459,33,23,6,6,6,2966,34,3000
Precinct,Angelus-Catarrh,243,128,2,1,2,4,0,380,3,383
Precinct,Bay Springs,175,31,1,3,1,3,1,215,2,217
Precinct,Black Creek,126,71,2,0,0,1,0,200,2,202
Precinct,Brocks Mill,306,430,7,3,1,2,2,751,3,754
Precinct,Cash,256,302,7,2,0,2,1,570,4,574
Precinct,Center Grove-Winzo,219,279,0,0,0,1,2,501,5,506
Precinct,Cheraw No. 01,411,267,12,1,4,3,2,700,11,711
Precinct,Cheraw No. 02,240,240,6,3,1,3,0,493,6,499
Precinct,Cheraw No. 03,213,597,5,6,1,3,2,827,8,835
Precinct,Cheraw No. 04,291,352,13,4,4,2,1,667,9,676
Precinct,Courthouse,603,279,7,3,1,0,1,894,8,902
Precinct,Dudley-mangum,369,107,7,3,1,0,0,487,4,491
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Grants Mill,415,204,2,8,1,3,0,633,9,642
Precinct,Jefferson,532,364,13,1,2,7,0,919,17,936
Precinct,Mcbee,574,330,9,7,9,0,0,929,11,940
Precinct,Middendorf,334,52,9,3,3,0,0,401,2,403
Precinct,Mt. Groghan,151,53,2,1,1,2,0,210,0,210
Precinct,Ousleydale,360,56,5,5,1,4,0,431,1,432
Precinct,Pageland No. 01,478,390,7,2,2,6,0,885,10,895
Precinct,Pageland No. 02,465,335,10,3,1,2,2,818,11,829
Precinct,Patrick,208,131,9,2,2,1,2,355,6,361
Precinct,Pee Dee,136,29,1,0,0,0,0,166,1,167
Precinct,Provisional,3,0,0,1,1,0,0,5,0,5
Precinct,Ruby,328,205,5,3,1,1,0,543,7,550
Precinct,Shiloh,234,112,3,4,0,0,0,353,5,358
Precinct,Snow Hill-Vaughn,209,55,8,3,1,4,2,282,3,285
County,Clarendon,7386,7732,127,74,27,25,24,15395,188,15583
Precinct,Absentee,2178,3773,34,14,7,11,6,6023,19,6042
Precinct,Alcolu,198,184,6,0,1,1,1,391,3,394
Precinct,Barrineau,275,29,0,0,0,0,1,305,4,309
Precinct,Barrows Mill,74,26,1,3,0,0,0,104,0,104
Precinct,Bloomville,163,67,2,0,0,0,0,232,2,234
Precinct,Calvary,57,212,5,2,0,0,0,276,4,280
Precinct,Davis Station,427,272,11,2,3,2,2,719,11,730
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe,2,13,0,0,0,0,0,15,0,15
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Harmony,187,146,3,1,0,0,0,337,7,344
Precinct,Hicks,313,49,2,1,0,0,2,367,2,369
Precinct,Home Branch,180,29,1,1,0,0,0,211,1,212
Precinct,Jordan,581,193,4,7,4,1,1,791,11,802
Precinct,Manning No. 01,106,140,2,1,0,0,0,249,2,251
Precinct,Manning No. 02,164,181,7,1,0,0,1,354,3,357
Precinct,Manning No. 03,350,145,11,7,0,2,0,515,2,517
Precinct,Manning No. 04,71,305,2,3,0,1,0,382,78,460
Precinct,Manning No. 05,204,198,3,5,2,0,1,413,3,416
Precinct,New Zion,184,90,1,0,1,1,1,278,2,280
Precinct,Oakdale,91,83,1,1,1,1,0,178,5,183
Precinct,Panola,34,89,1,1,1,0,0,126,1,127
Precinct,Paxville,204,259,13,10,3,1,2,492,1,493
Precinct,Provisional,3,4,0,0,0,0,0,7,0,7
Precinct,Sardinia-gable,78,144,0,0,0,0,1,223,0,223
Precinct,Summerton No. 01,479,264,10,8,1,1,1,764,7,771
Precinct,Summerton No. 02,38,92,0,3,1,0,0,134,6,140
Precinct,Summerton No. 03,85,316,3,0,0,0,0,404,3,407
Precinct,Turbeville,441,143,2,1,0,0,3,590,6,596
Precinct,Wilson-Foreston,219,286,2,2,2,3,1,515,5,520
County,Colleton,9091,7627,262,103,79,60,29,17251,187,17438
Precinct,Absentee,2472,2769,57,22,15,14,11,5360,74,5434
Precinct,Ashton-lodge,213,62,6,5,0,2,0,288,2,290
Precinct,Bells,106,54,1,0,1,0,0,162,1,163
Precinct,Berea-smoaks,202,308,7,1,1,0,0,519,4,523
Precinct,Canadys,153,105,8,2,0,1,1,270,4,274
Precinct,Cottageville,492,184,10,5,5,6,1,703,5,708
Precinct,Edisto,65,117,0,2,1,1,0,186,2,188
Precinct,Edisto Beach,462,139,13,3,1,0,1,619,6,625
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,8,10,0,0,0,1,0,19,0,19
Precinct,Green Pond,118,330,4,3,4,3,1,463,2,465
Precinct,Hendersonville,184,305,2,3,3,1,2,500,7,507
Precinct,Horse Pen,247,98,3,2,2,3,2,357,6,363
Precinct,Hudsons Mill,206,82,4,2,1,2,0,297,5,302
Precinct,Jacksonboro,47,166,0,2,1,0,0,216,4,220
Precinct,Maple Cane,378,78,11,4,7,2,0,480,1,481
Precinct,Mashawville,159,192,9,2,1,1,0,364,5,369
Precinct,Peeples,295,191,14,4,1,1,0,506,1,507
Precinct,Peniel,208,152,11,4,2,2,1,380,0,380
Precinct,Petits,75,43,6,1,4,0,0,129,3,132
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Rice Patch,213,117,7,1,0,2,0,340,2,342
Precinct,Ritter,105,233,1,2,0,2,0,343,3,346
Precinct,Round O,296,146,10,7,2,5,1,467,6,473
Precinct,Ruffin,79,61,0,1,0,0,1,142,1,143
Precinct,Sidneys,222,59,5,1,0,1,1,289,3,292
Precinct,Sniders,228,77,3,0,2,1,0,311,3,314
Precinct,Stokes,294,76,7,1,2,1,3,384,4,388
Precinct,Walterboro No. 01,226,192,8,3,5,0,0,434,2,436
Precinct,Walterboro No. 02,148,254,9,4,4,1,1,421,3,424
Precinct,Walterboro No. 03,76,427,6,1,3,0,1,514,7,521
Precinct,Walterboro No. 04,314,174,18,1,4,2,0,513,5,518
Precinct,Walterboro No. 05,336,128,11,9,4,1,0,489,6,495
Precinct,Walterboro No. 06,205,196,6,3,3,2,1,416,7,423
Precinct,Williams,88,75,0,2,0,2,0,167,2,169
Precinct,Wolf Creek,171,27,5,0,0,0,0,203,1,204
County,Darlington,14989,13888,385,168,133,73,38,29674,227,29901
Precinct,Absentee,3476,3807,57,35,23,11,6,7415,63,7478
Precinct,Antioch,533,388,10,4,3,3,1,942,5,947
Precinct,Auburn,75,297,4,1,0,2,1,380,4,384
Precinct,Bethel,209,181,5,7,1,1,0,404,3,407
Precinct,Black Creek-Clyde,515,167,5,0,2,3,1,693,4,697
Precinct,Burnt Branch,258,121,6,6,1,2,1,395,4,399
Precinct,Darlington No. 01,68,79,3,2,0,0,2,154,1,155
Precinct,Darlington No. 02,212,431,4,0,2,2,0,651,5,656
